using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.10
D=5001
K=405
N=15666
d=237.683
r=1
i=69, a_nnz=5.57213, ever_a_nnz=18.6774, b_nnz=279.41, uni_search=20.6592, uni_subSolve=2.36941, uni_maintain_time=0.25186, bi_search=2.24242, bi_subSolve=3.29054, bi_maintain_time=0.538998, admm_maintain=3.87763, area4=6.51487, infea=0.950605, d_obj=-20.3059, heldout Acc=0.997531 (6/50), overall time=1533.86
i=70, a_nnz=5.58075, ever_a_nnz=18.7692, b_nnz=282.965, uni_search=21.3447, uni_subSolve=2.46437, uni_maintain_time=0.295218, bi_search=1.69578, bi_subSolve=2.58396, bi_maintain_time=0.432229, admm_maintain=2.3907, area4=6.61841, infea=1.11619, d_obj=-14.7229, overall time=1565.08
i=71, a_nnz=5.58375, ever_a_nnz=18.8578, b_nnz=286.485, uni_search=18.7675, uni_subSolve=2.28046, uni_maintain_time=0.21257, bi_search=2.07743, bi_subSolve=3.54132, bi_maintain_time=0.648374, admm_maintain=2.9167, area4=6.69067, infea=0.84238, d_obj=-27.3551, overall time=1595.54
i=72, a_nnz=5.59888, ever_a_nnz=18.9505, b_nnz=290.14, uni_search=21.8712, uni_subSolve=2.61776, uni_maintain_time=0.256136, bi_search=1.91434, bi_subSolve=2.97217, bi_maintain_time=0.486866, admm_maintain=3.22651, area4=6.74429, infea=0.87097, d_obj=-29.6933, overall time=1628.9
i=73, a_nnz=5.60149, ever_a_nnz=19.0356, b_nnz=293.667, uni_search=21.7442, uni_subSolve=2.62543, uni_maintain_time=0.203974, bi_search=2.56145, bi_subSolve=4.04923, bi_maintain_time=0.590268, admm_maintain=4.43294, area4=6.7628, infea=0.884543, d_obj=-29.4932, overall time=1665.13
i=74, a_nnz=5.61522, ever_a_nnz=19.1217, b_nnz=297.254, uni_search=23.3457, uni_subSolve=2.94088, uni_maintain_time=0.281687, bi_search=2.37887, bi_subSolve=3.49206, bi_maintain_time=0.563142, admm_maintain=3.48806, area4=6.87068, infea=0.879517, d_obj=-28.8833, overall time=1701.64
i=75, a_nnz=5.62141, ever_a_nnz=19.2032, b_nnz=300.693, uni_search=24.4425, uni_subSolve=3.19812, uni_maintain_time=0.26084, bi_search=2.64918, bi_subSolve=4.31323, bi_maintain_time=0.694888, admm_maintain=3.26613, area4=6.91395, infea=0.888957, d_obj=-28.4588, overall time=1740.49
i=76, a_nnz=5.63207, ever_a_nnz=19.2811, b_nnz=304.076, uni_search=20.3054, uni_subSolve=2.4248, uni_maintain_time=0.219601, bi_search=2.23748, bi_subSolve=3.59974, bi_maintain_time=0.617843, admm_maintain=3.92489, area4=6.91434, infea=0.867236, d_obj=-27.7705, overall time=1773.84
i=77, a_nnz=5.63264, ever_a_nnz=19.3587, b_nnz=307.426, uni_search=20.1737, uni_subSolve=2.5365, uni_maintain_time=0.212968, bi_search=2.24462, bi_subSolve=3.6596, bi_maintain_time=0.577075, admm_maintain=4.10654, area4=6.89991, infea=0.840863, d_obj=-27.1131, overall time=1807.37
i=78, a_nnz=5.63781, ever_a_nnz=19.439, b_nnz=310.879, uni_search=23.1689, uni_subSolve=2.82787, uni_maintain_time=0.253666, bi_search=1.83967, bi_subSolve=2.88585, bi_maintain_time=0.608885, admm_maintain=3.26282, area4=6.85855, infea=0.831163, d_obj=-26.5188, overall time=1842.23
i=79, a_nnz=5.63667, ever_a_nnz=19.517, b_nnz=314.219, uni_search=23.601, uni_subSolve=2.98098, uni_maintain_time=0.24929, bi_search=2.03114, bi_subSolve=3.26736, bi_maintain_time=0.530678, admm_maintain=3.53093, area4=6.89544, infea=0.722711, d_obj=-26.5171, heldout Acc=1 (7/50), overall time=1878.45
i=80, a_nnz=5.63737, ever_a_nnz=19.5954, b_nnz=317.613, uni_search=23.0023, uni_subSolve=2.72385, uni_maintain_time=0.261102, bi_search=2.56864, bi_subSolve=3.71186, bi_maintain_time=0.617535, admm_maintain=3.09064, area4=6.91753, infea=1.05003, d_obj=-13.6564, overall time=1914.44
i=81, a_nnz=5.63705, ever_a_nnz=19.6739, b_nnz=320.998, uni_search=21.1253, uni_subSolve=2.52287, uni_maintain_time=0.28285, bi_search=1.94799, bi_subSolve=2.95291, bi_maintain_time=0.532597, admm_maintain=4.58909, area4=6.93553, infea=0.895845, d_obj=-20.6715, overall time=1948.41
i=82, a_nnz=5.63781, ever_a_nnz=19.7532, b_nnz=324.396, uni_search=21.3185, uni_subSolve=2.64264, uni_maintain_time=0.277234, bi_search=2.06022, bi_subSolve=3.2701, bi_maintain_time=0.591419, admm_maintain=3.88225, area4=6.90119, infea=0.856995, d_obj=-25.1723, overall time=1982.48
i=83, a_nnz=5.63935, ever_a_nnz=19.8349, b_nnz=327.82, uni_search=25.0115, uni_subSolve=3.04719, uni_maintain_time=0.280947, bi_search=2.67095, bi_subSolve=4.74794, bi_maintain_time=0.776853, admm_maintain=4.21667, area4=6.93387, infea=0.973336, d_obj=-19.7738, overall time=2023.24
