using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=58, a_nnz=7.2418, ever_a_nnz=12.6298, b_nnz=105.986, uni_search=13.0839, uni_subSolve=0.636762, uni_maintain_time=0.181529, bi_search=110.187, bi_subSolve=0.494339, bi_maintain_time=0.228659, admm_maintain=0.36091, area4=-nan, infea=14.518, d_obj=148.607., heldout Acc=0.994568 (6/50), overall time=9012.65
i=59, a_nnz=7.28999, ever_a_nnz=12.6856, b_nnz=107.436, uni_search=13.1008, uni_subSolve=0.636099, uni_maintain_time=0.180182, bi_search=110.103, bi_subSolve=0.496712, bi_maintain_time=0.229075, admm_maintain=0.358377, area4=-nan, infea=15.523, d_obj=141.498., heldout Acc=0.995802 (7/50), overall time=9137.76
i=60, a_nnz=7.32944, ever_a_nnz=12.7385, b_nnz=108.758, uni_search=12.7559, uni_subSolve=0.602464, uni_maintain_time=0.148519, bi_search=109.459, bi_subSolve=0.489936, bi_maintain_time=0.223245, admm_maintain=0.33789, area4=-nan, infea=15.9237, d_obj=138.41., heldout Acc=0.995062 (8/50), overall time=9261.8
i=61, a_nnz=7.37885, ever_a_nnz=12.7931, b_nnz=110.103, uni_search=27.8047, uni_subSolve=1.38984, uni_maintain_time=0.180081, bi_search=140.988, bi_subSolve=1.11934, bi_maintain_time=0.509288, admm_maintain=0.741796, area4=-nan, infea=13.5506, d_obj=127.238., heldout Acc=0.996049 (9/50), overall time=9434.57
i=62, a_nnz=7.41906, ever_a_nnz=12.8501, b_nnz=111.521, uni_search=28.2964, uni_subSolve=1.42089, uni_maintain_time=0.180197, bi_search=144.819, bi_subSolve=1.15701, bi_maintain_time=0.51531, admm_maintain=0.714913, area4=-nan, infea=14.8913, d_obj=191.059., heldout Acc=0.994568 (10/50), overall time=9611.72
i=63, a_nnz=7.46208, ever_a_nnz=12.9079, b_nnz=112.87, uni_search=28.7087, uni_subSolve=1.4912, uni_maintain_time=0.20027, bi_search=154.609, bi_subSolve=1.45513, bi_maintain_time=0.672298, admm_maintain=1.01906, area4=-nan, infea=15.4329, d_obj=167.136., heldout Acc=0.997284, overall time=9799.92
i=64, a_nnz=7.49968, ever_a_nnz=12.9624, b_nnz=114.168, uni_search=15.752, uni_subSolve=0.8382, uni_maintain_time=0.162238, bi_search=142.136, bi_subSolve=1.37337, bi_maintain_time=0.600938, admm_maintain=1.03155, area4=-nan, infea=15.8739, d_obj=155.703., heldout Acc=0.995556 (1/50), overall time=9961.85
i=65, a_nnz=7.53747, ever_a_nnz=13.0119, b_nnz=115.391, uni_search=38.0792, uni_subSolve=2.66723, uni_maintain_time=0.289866, bi_search=159.534, bi_subSolve=1.81709, bi_maintain_time=0.785953, admm_maintain=1.07898, area4=-nan, infea=14.2515, d_obj=144.702., heldout Acc=0.997037 (2/50), overall time=10166.2
i=66, a_nnz=7.59077, ever_a_nnz=13.067, b_nnz=116.685, uni_search=13.5271, uni_subSolve=0.669876, uni_maintain_time=0.187564, bi_search=110.201, bi_subSolve=0.538089, bi_maintain_time=0.25882, admm_maintain=0.388794, area4=-nan, infea=15.6378, d_obj=141.215., heldout Acc=0.996049 (3/50), overall time=10291.9
i=67, a_nnz=7.62652, ever_a_nnz=13.1151, b_nnz=117.985, uni_search=13.6261, uni_subSolve=0.67253, uni_maintain_time=0.18632, bi_search=110.269, bi_subSolve=0.539604, bi_maintain_time=0.257066, admm_maintain=0.391156, area4=-nan, infea=12.5976, d_obj=105.404., heldout Acc=0.995802 (4/50), overall time=10417.9
i=68, a_nnz=7.66852, ever_a_nnz=13.1658, b_nnz=119.316, uni_search=13.4229, uni_subSolve=0.661264, uni_maintain_time=0.176259, bi_search=110.128, bi_subSolve=0.539079, bi_maintain_time=0.258193, admm_maintain=0.390102, area4=-nan, infea=14.5645, d_obj=103.363., heldout Acc=0.995802 (5/50), overall time=10543.5
i=69, a_nnz=7.71378, ever_a_nnz=13.2125, b_nnz=120.541, uni_search=35.419, uni_subSolve=2.39489, uni_maintain_time=0.282948, bi_search=159.344, bi_subSolve=1.82967, bi_maintain_time=0.740982, admm_maintain=1.08011, area4=-nan, infea=14.4655, d_obj=99.4526., heldout Acc=0.995802 (6/50), overall time=10744.6
i=70, a_nnz=7.75073, ever_a_nnz=13.2582, b_nnz=121.78, uni_search=31.74, uni_subSolve=1.51966, uni_maintain_time=0.199568, bi_search=137.899, bi_subSolve=1.2958, bi_maintain_time=0.575816, admm_maintain=0.83497, area4=-nan, infea=13.6028, d_obj=91.2119., heldout Acc=0.998025, overall time=10918.7
i=71, a_nnz=7.79005, ever_a_nnz=13.3156, b_nnz=123.203, uni_search=21.9599, uni_subSolve=0.959901, uni_maintain_time=0.157965, bi_search=133.106, bi_subSolve=1.12706, bi_maintain_time=0.514449, admm_maintain=0.802932, area4=-nan, infea=13.7795, d_obj=168.857., heldout Acc=0.997037 (1/50), overall time=11077.4
i=72, a_nnz=7.84176, ever_a_nnz=13.379, b_nnz=124.71, uni_search=30.0821, uni_subSolve=1.68614, uni_maintain_time=0.224703, bi_search=164.052, bi_subSolve=1.78234, bi_maintain_time=0.778883, admm_maintain=1.17193, area4=-nan, infea=14.9171, d_obj=200.515., heldout Acc=0.995802 (2/50), overall time=11277.2
i=73, a_nnz=7.87336, ever_a_nnz=13.4378, b_nnz=126.144, uni_search=42.0601, uni_subSolve=2.44332, uni_maintain_time=0.279462, bi_search=164.542, bi_subSolve=1.81378, bi_maintain_time=0.77437, admm_maintain=1.15816, area4=-nan, infea=15.0462, d_obj=187.748., heldout Acc=0.995802 (3/50), overall time=11490.4
i=74, a_nnz=7.89519, ever_a_nnz=13.4893, b_nnz=127.558, uni_search=30.6044, uni_subSolve=1.55016, uni_maintain_time=0.193029, bi_search=144.595, bi_subSolve=1.29817, bi_maintain_time=0.564563, admm_maintain=0.831545, area4=-nan, infea=13.607, d_obj=141.407., heldout Acc=0.994568 (4/50), overall time=11670
i=75, a_nnz=7.9317, ever_a_nnz=13.5402, b_nnz=128.94, uni_search=29.8935, uni_subSolve=1.56755, uni_maintain_time=0.195402, bi_search=140.335, bi_subSolve=1.2792, bi_maintain_time=0.551866, admm_maintain=0.547965, area4=-nan, infea=14.6476, d_obj=122.021., heldout Acc=0.99358 (5/50), overall time=11844.4
i=76, a_nnz=7.96183, ever_a_nnz=13.5823, b_nnz=130.11, uni_search=29.1208, uni_subSolve=1.48351, uni_maintain_time=0.182002, bi_search=138.937, bi_subSolve=1.24593, bi_maintain_time=0.551622, admm_maintain=0.789941, area4=-nan, infea=11.8184, d_obj=97.3321., heldout Acc=0.99284 (6/50), overall time=12016.8
i=77, a_nnz=7.994, ever_a_nnz=13.6286, b_nnz=131.403, uni_search=19.7253, uni_subSolve=1.00507, uni_maintain_time=0.156032, bi_search=122.315, bi_subSolve=0.92258, bi_maintain_time=0.404039, admm_maintain=0.826981, area4=-nan, infea=13.0032, d_obj=91.2407., heldout Acc=0.996543 (7/50), overall time=12162.2
