using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=0.1, C=1, eta=0.1
i=72, infea=0.197848, nnz_a=12.0325, nnz_b=34.3022, uni_search=1.20623, uni_subSolve=0.0813473, uni_maintain=0.0988118, bi_search=1.01299, bi_subSolve=0.104563, bi_maintain=0.292364, admm_maintain=0.122493, area1=656.236, area23=1.6749, area4=1.17124, dual_obj=-210.827, overall time=153.043
i=73, infea=0.199092, nnz_a=12.0467, nnz_b=34.5208, uni_search=1.28125, uni_subSolve=0.0897707, uni_maintain=0.116055, bi_search=0.294449, bi_subSolve=0.049406, bi_maintain=0.0792633, admm_maintain=0.0601372, area1=657.486, area23=1.69871, area4=1.1706, dual_obj=-212.557, overall time=155.1
i=74, infea=0.200315, nnz_a=12.0749, nnz_b=34.7375, uni_search=1.116, uni_subSolve=0.0724888, uni_maintain=0.0840181, bi_search=0.300858, bi_subSolve=0.0499905, bi_maintain=0.0805863, admm_maintain=0.0546989, area1=658.629, area23=1.72251, area4=1.19175, dual_obj=-214.257, overall time=156.929
i=75, infea=0.201505, nnz_a=12.1018, nnz_b=34.953, uni_search=1.1105, uni_subSolve=0.0725073, uni_maintain=0.0839497, bi_search=0.287011, bi_subSolve=0.0494446, bi_maintain=0.0777224, admm_maintain=0.0575651, area1=659.983, area23=1.74215, area4=1.19588, dual_obj=-215.953, overall time=158.738
i=76, infea=0.202681, nnz_a=12.1412, nnz_b=35.1678, uni_search=1.13177, uni_subSolve=0.0742019, uni_maintain=0.0862465, bi_search=0.306815, bi_subSolve=0.0511352, bi_maintain=0.0833878, admm_maintain=0.0617508, area1=661.318, area23=1.76658, area4=1.21576, dual_obj=-217.624, overall time=160.605
i=77, infea=0.20382, nnz_a=12.1514, nnz_b=35.3799, uni_search=1.12792, uni_subSolve=0.074273, uni_maintain=0.0864424, bi_search=0.296624, bi_subSolve=0.0507961, bi_maintain=0.0802735, admm_maintain=0.0559443, area1=662.572, area23=1.78782, area4=1.23436, dual_obj=-219.272, overall time=162.447
i=78, infea=0.20496, nnz_a=12.1634, nnz_b=35.5981, uni_search=1.09247, uni_subSolve=0.0714276, uni_maintain=0.0824587, bi_search=0.286566, bi_subSolve=0.0503415, bi_maintain=0.0778933, admm_maintain=0.0617951, area1=663.76, area23=1.81155, area4=1.25853, dual_obj=-220.89, overall time=164.241
i=79, infea=0.206064, nnz_a=12.1924, nnz_b=35.8094, uni_search=1.11671, uni_subSolve=0.0730524, uni_maintain=0.0846423, bi_search=0.306206, bi_subSolve=0.0518478, bi_maintain=0.0820405, admm_maintain=0.0609554, area1=664.878, area23=1.83245, area4=1.29271, dual_obj=-222.484, p_obj=164.993, heldout Acc=0.531537, overall time=166.088
i=80, infea=0.207146, nnz_a=12.2113, nnz_b=36.0231, uni_search=1.21204, uni_subSolve=0.0800938, uni_maintain=0.0955461, bi_search=0.433555, bi_subSolve=0.0633002, bi_maintain=0.120858, admm_maintain=0.0773405, area1=665.916, area23=1.85263, area4=1.29716, dual_obj=-224.062, overall time=168.257
i=81, infea=0.208194, nnz_a=12.2262, nnz_b=36.2309, uni_search=1.17602, uni_subSolve=0.0772844, uni_maintain=0.0913529, bi_search=0.457361, bi_subSolve=0.0653784, bi_maintain=0.127786, admm_maintain=0.0777857, area1=666.952, area23=1.87609, area4=1.32085, dual_obj=-225.617, overall time=170.416
