using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=0.1, C=1, eta=1
i=0, infea=0.0964916, nnz_a=1.99993, nnz_b=2, uni_search=0.893012, uni_subSolve=0.0129335, uni_maintain=0.00886851, bi_search=0.0512273, bi_subSolve=0.00527284, bi_maintain=0.0181251, admm_maintain=0.00727606, area1=0.999841, area23=1.00382, area4=1.00032, dual_obj=-725.565, overall time=1.20305
i=55, infea=0.591734, nnz_a=23.8347, nnz_b=49.5574, uni_search=0.861994, uni_subSolve=0.0975699, uni_maintain=0.103241, bi_search=0.270523, bi_subSolve=0.0650115, bi_maintain=0.0797425, admm_maintain=0.0442929, area1=880.502, area23=2.05905, area4=1.31592, dual_obj=-9658.1, overall time=81.2538
i=56, infea=0.592587, nnz_a=23.9821, nnz_b=50.202, uni_search=0.854787, uni_subSolve=0.0971598, uni_maintain=0.102053, bi_search=0.280425, bi_subSolve=0.0671098, bi_maintain=0.08315, admm_maintain=0.0467732, area1=887.363, area23=2.09134, area4=1.35917, dual_obj=-9690.6, overall time=82.8468
i=57, infea=0.593263, nnz_a=24.0981, nnz_b=50.8476, uni_search=0.884961, uni_subSolve=0.101223, uni_maintain=0.108094, bi_search=0.287252, bi_subSolve=0.068849, bi_maintain=0.0857008, admm_maintain=0.0470755, area1=893.981, area23=2.12913, area4=1.43771, dual_obj=-9719.86, overall time=84.492
i=58, infea=0.593729, nnz_a=24.2252, nnz_b=51.4605, uni_search=0.885033, uni_subSolve=0.101755, uni_maintain=0.108503, bi_search=0.289753, bi_subSolve=0.0701357, bi_maintain=0.0867787, admm_maintain=0.0472603, area1=900.127, area23=2.15996, area4=1.49861, dual_obj=-9745.96, overall time=86.1434
i=59, infea=0.594036, nnz_a=24.3364, nnz_b=52.0697, uni_search=0.885002, uni_subSolve=0.102334, uni_maintain=0.109274, bi_search=0.294163, bi_subSolve=0.0714487, bi_maintain=0.0879401, admm_maintain=0.0475781, area1=905.996, area23=2.19226, area4=1.57938, dual_obj=-9768.94, p_obj=16381.5, heldout Acc=0.638633, overall time=87.8034
i=60, infea=0.594116, nnz_a=24.4714, nnz_b=52.6697, uni_search=0.883468, uni_subSolve=0.102013, uni_maintain=0.10954, bi_search=0.344295, bi_subSolve=0.0785009, bi_maintain=0.108066, admm_maintain=0.0469511, area1=912.169, area23=2.22727, area4=1.69401, dual_obj=-9789.34, overall time=89.5415
i=61, infea=0.594017, nnz_a=24.5922, nnz_b=53.2623, uni_search=0.883491, uni_subSolve=0.102742, uni_maintain=0.110039, bi_search=0.349502, bi_subSolve=0.079807, bi_maintain=0.109139, admm_maintain=0.0470545, area1=917.927, area23=2.257, area4=1.76508, dual_obj=-9806.85, overall time=91.2885
i=62, infea=0.593783, nnz_a=24.7201, nnz_b=53.84, uni_search=0.883673, uni_subSolve=0.103114, uni_maintain=0.110378, bi_search=0.350604, bi_subSolve=0.0810536, bi_maintain=0.110407, admm_maintain=0.0473984, area1=923.538, area23=2.28983, area4=1.86032, dual_obj=-9822.04, overall time=93.0404
i=63, infea=0.593354, nnz_a=24.8456, nnz_b=54.4166, uni_search=0.883755, uni_subSolve=0.103629, uni_maintain=0.110951, bi_search=0.353726, bi_subSolve=0.0822966, bi_maintain=0.111183, admm_maintain=0.047517, area1=928.937, area23=2.31887, area4=1.99769, dual_obj=-9834.36, overall time=94.7993
i=64, infea=0.592783, nnz_a=24.9726, nnz_b=54.9817, uni_search=0.883741, uni_subSolve=0.104249, uni_maintain=0.11145, bi_search=0.357015, bi_subSolve=0.0836511, bi_maintain=0.112277, admm_maintain=0.0475918, area1=934.077, area23=2.35179, area4=2.10613, dual_obj=-9844.63, overall time=96.5647
i=65, infea=0.592084, nnz_a=25.0972, nnz_b=55.529, uni_search=0.883821, uni_subSolve=0.104794, uni_maintain=0.112024, bi_search=0.360124, bi_subSolve=0.0849674, bi_maintain=0.113375, admm_maintain=0.0478799, area1=939.336, area23=2.37989, area4=2.24589, dual_obj=-9853.1, overall time=98.3372
i=66, infea=0.591255, nnz_a=25.2279, nnz_b=56.0701, uni_search=0.884591, uni_subSolve=0.105355, uni_maintain=0.112677, bi_search=0.366726, bi_subSolve=0.0865218, bi_maintain=0.115553, admm_maintain=0.0480899, area1=944.386, area23=2.40883, area4=2.41808, dual_obj=-9859.68, overall time=100.122
i=67, infea=0.590272, nnz_a=25.3639, nnz_b=56.5975, uni_search=0.883255, uni_subSolve=0.105861, uni_maintain=0.113796, bi_search=0.366524, bi_subSolve=0.0874334, bi_maintain=0.115553, admm_maintain=0.0482168, area1=949.497, area23=2.43779, area4=2.60394, dual_obj=-9864.21, overall time=101.909
i=68, infea=0.589191, nnz_a=25.4954, nnz_b=57.1167, uni_search=0.883231, uni_subSolve=0.106554, uni_maintain=0.114466, bi_search=0.370014, bi_subSolve=0.0885533, bi_maintain=0.116707, admm_maintain=0.0485471, area1=954.735, area23=2.46589, area4=2.78138, dual_obj=-9867.18, overall time=103.703
i=69, infea=0.587973, nnz_a=25.6296, nnz_b=57.6247, uni_search=0.883307, uni_subSolve=0.106881, uni_maintain=0.114938, bi_search=0.373945, bi_subSolve=0.0898922, bi_maintain=0.117634, admm_maintain=0.0486306, area1=960.04, area23=2.49099, area4=2.95182, dual_obj=-9868.25, p_obj=16495.3, heldout Acc=0.638633 (1/100), overall time=105.504
i=70, infea=0.586695, nnz_a=25.7622, nnz_b=58.1337, uni_search=0.883913, uni_subSolve=0.108038, uni_maintain=0.115542, bi_search=0.321317, bi_subSolve=0.0844843, bi_maintain=0.0975521, admm_maintain=0.0497731, area1=965.107, area23=2.515, area4=3.14469, dual_obj=-9868.02, overall time=107.228
i=71, infea=0.585303, nnz_a=25.8923, nnz_b=58.63, uni_search=0.88359, uni_subSolve=0.108638, uni_maintain=0.115852, bi_search=0.32329, bi_subSolve=0.0857246, bi_maintain=0.0984156, admm_maintain=0.0500552, area1=969.598, area23=2.53986, area4=3.37873, dual_obj=-9866.51, overall time=108.956
i=72, infea=0.583808, nnz_a=26.0223, nnz_b=59.1138, uni_search=0.884497, uni_subSolve=0.109528, uni_maintain=0.116365, bi_search=0.326743, bi_subSolve=0.0868743, bi_maintain=0.0992591, admm_maintain=0.0501236, area1=974.321, area23=2.56354, area4=3.61976, dual_obj=-9863.82, overall time=110.693
