using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=1, C=1, eta=0.1
i=72, infea=0.597989, nnz_a=21.5654, nnz_b=28.4171, uni_search=0.990621, uni_subSolve=0.104516, uni_maintain=0.115189, bi_search=33.3521, bi_subSolve=0.100779, bi_maintain=0.361464, admm_maintain=0.0831627, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9759.88, overall time=2755.29
i=73, infea=0.592981, nnz_a=21.6853, nnz_b=28.6366, uni_search=1.2096, uni_subSolve=0.12382, uni_maintain=0.152878, bi_search=39.4426, bi_subSolve=0.126971, bi_maintain=0.466548, admm_maintain=0.0936391, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9741.27, overall time=2797.04
i=74, infea=0.588068, nnz_a=21.8061, nnz_b=28.8411, uni_search=1.28117, uni_subSolve=0.13214, uni_maintain=0.165534, bi_search=41.6592, bi_subSolve=0.133897, bi_maintain=0.495301, admm_maintain=0.096487, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9723.21, overall time=2841.15
i=75, infea=0.583149, nnz_a=21.9307, nnz_b=29.0684, uni_search=1.22324, uni_subSolve=0.127409, uni_maintain=0.15751, bi_search=40.7339, bi_subSolve=0.132693, bi_maintain=0.486201, admm_maintain=0.0575782, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9705.22, overall time=2884.2
i=76, infea=0.578345, nnz_a=22.0428, nnz_b=29.3002, uni_search=1.05748, uni_subSolve=0.112684, uni_maintain=0.133316, bi_search=34.3032, bi_subSolve=0.11428, bi_maintain=0.408329, admm_maintain=0.0687814, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9687.55, overall time=2920.52
i=77, infea=0.573562, nnz_a=22.157, nnz_b=29.5074, uni_search=1.34914, uni_subSolve=0.148689, uni_maintain=0.19152, bi_search=34.8196, bi_subSolve=0.117856, bi_maintain=0.416284, admm_maintain=0.0877004, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9670.27, overall time=2957.79
i=78, infea=0.568798, nnz_a=22.2689, nnz_b=29.7202, uni_search=1.20316, uni_subSolve=0.131979, uni_maintain=0.161003, bi_search=34.7263, bi_subSolve=0.105294, bi_maintain=0.379535, admm_maintain=0.110243, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9652.84, overall time=2994.73
i=79, infea=0.564136, nnz_a=22.3965, nnz_b=29.9211, uni_search=1.32458, uni_subSolve=0.148206, uni_maintain=0.18888, bi_search=42.9414, bi_subSolve=0.125517, bi_maintain=0.422091, admm_maintain=0.0573627, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9635.86, p_obj=15928.8, heldout Acc=0.648489, overall time=3040.06
i=80, infea=0.559572, nnz_a=22.5138, nnz_b=30.1398, uni_search=1.42295, uni_subSolve=0.153647, uni_maintain=0.197976, bi_search=48.9128, bi_subSolve=0.130229, bi_maintain=0.468762, admm_maintain=0.113216, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9619.09, overall time=3091.6
i=81, infea=0.555009, nnz_a=22.6243, nnz_b=30.3536, uni_search=1.15972, uni_subSolve=0.12943, uni_maintain=0.159893, bi_search=33.1444, bi_subSolve=0.0872661, bi_maintain=0.301314, admm_maintain=0.0749138, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9602.53, overall time=3126.77
