using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=5, admm_step_size=1, C=1, eta=10
i=0, infea=0.02011, nnz_a=2, nnz_b=2, uni_search=0.493165, uni_subSolve=0.0202199, uni_maintain=0.00951711, bi_search=0.137699, bi_subSolve=0.00907457, bi_maintain=0.0474869, admm_maintain=0.0144421, area1=1, area23=1.0004, area4=1, dual_obj=-208.399, overall time=1.19054
i=61, infea=0.0389157, nnz_a=15.3336, nnz_b=30.8344, uni_search=0.445022, uni_subSolve=0.089471, uni_maintain=0.0945979, bi_search=0.775859, bi_subSolve=0.0567949, bi_maintain=0.171921, admm_maintain=0.0481684, area1=1836.89, area23=1.30183, area4=2.54448, dual_obj=-2297.88, overall time=97.3915
i=62, infea=0.0388185, nnz_a=15.4163, nnz_b=31.0457, uni_search=0.447273, uni_subSolve=0.0897964, uni_maintain=0.09543, bi_search=0.802657, bi_subSolve=0.0578137, bi_maintain=0.175437, admm_maintain=0.0512979, area1=1885.3, area23=1.3065, area4=2.67152, dual_obj=-2318.48, overall time=99.1901
i=63, infea=0.0386033, nnz_a=15.4836, nnz_b=31.2496, uni_search=0.445598, uni_subSolve=0.0901247, uni_maintain=0.0955969, bi_search=0.805643, bi_subSolve=0.0581588, bi_maintain=0.175572, admm_maintain=0.0487267, area1=1933.62, area23=1.31119, area4=2.77423, dual_obj=-2339.22, overall time=100.988
i=64, infea=0.0384874, nnz_a=15.5569, nnz_b=31.4585, uni_search=0.440666, uni_subSolve=0.0906922, uni_maintain=0.0961008, bi_search=0.818428, bi_subSolve=0.0586078, bi_maintain=0.17792, admm_maintain=0.0506234, area1=1982.32, area23=1.31602, area4=2.96772, dual_obj=-2359.33, overall time=102.8
i=65, infea=0.0383614, nnz_a=15.6313, nnz_b=31.6514, uni_search=0.445236, uni_subSolve=0.091626, uni_maintain=0.0969456, bi_search=0.847355, bi_subSolve=0.0596698, bi_maintain=0.181542, admm_maintain=0.0515622, area1=2031.99, area23=1.32083, area4=3.10366, dual_obj=-2379.44, overall time=104.655
i=66, infea=0.0381643, nnz_a=15.7024, nnz_b=31.8277, uni_search=0.441548, uni_subSolve=0.0926121, uni_maintain=0.0982438, bi_search=0.852752, bi_subSolve=0.0600691, bi_maintain=0.182878, admm_maintain=0.0507509, area1=2081.4, area23=1.32353, area4=3.24899, dual_obj=-2399.53, overall time=106.513
i=67, infea=0.0379912, nnz_a=15.7627, nnz_b=32.0141, uni_search=0.443747, uni_subSolve=0.0925118, uni_maintain=0.0984199, bi_search=0.867759, bi_subSolve=0.0606713, bi_maintain=0.183449, admm_maintain=0.0511557, area1=2130.13, area23=1.3297, area4=3.4207, dual_obj=-2419.41, overall time=108.391
i=68, infea=0.0378875, nnz_a=15.8396, nnz_b=32.2004, uni_search=0.446172, uni_subSolve=0.0931004, uni_maintain=0.098525, bi_search=0.875934, bi_subSolve=0.0609864, bi_maintain=0.184347, admm_maintain=0.0519439, area1=2180.02, area23=1.33399, area4=3.53629, dual_obj=-2438.78, overall time=110.282
i=69, infea=0.0378291, nnz_a=15.9134, nnz_b=32.3893, uni_search=0.447914, uni_subSolve=0.0933444, uni_maintain=0.0989467, bi_search=0.890749, bi_subSolve=0.0614649, bi_maintain=0.186284, admm_maintain=0.051922, area1=2229.2, area23=1.33702, area4=3.75793, dual_obj=-2458.32, p_obj=14996.7, heldout Acc=0.689882, overall time=112.193
i=70, infea=0.0376441, nnz_a=15.981, nnz_b=32.5703, uni_search=0.442769, uni_subSolve=0.0941328, uni_maintain=0.100181, bi_search=0.922223, bi_subSolve=0.0623732, bi_maintain=0.19086, admm_maintain=0.0532781, area1=2279.47, area23=1.34278, area4=3.8422, dual_obj=-2477.64, overall time=114.14
i=71, infea=0.0375383, nnz_a=16.0407, nnz_b=32.7624, uni_search=0.445097, uni_subSolve=0.0948164, uni_maintain=0.101018, bi_search=0.918421, bi_subSolve=0.0623135, bi_maintain=0.188726, admm_maintain=0.0518695, area1=2330.06, area23=1.34709, area4=4.03506, dual_obj=-2496.71, overall time=116.082
