using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.10
D=5001
K=405
N=15666
d=237.683
r=1
i=55, a_nnz=5.49904, ever_a_nnz=17.3497, b_nnz=227.702, uni_search=16.7875, uni_subSolve=1.8382, uni_maintain_time=0.187998, bi_search=1.17035, bi_subSolve=2.03462, bi_maintain_time=0.333216, admm_maintain=2.2122, area4=5.69054, infea=0.704107, d_obj=-28.3113, overall time=1147.45
i=56, a_nnz=5.50887, ever_a_nnz=17.4614, b_nnz=231.493, uni_search=20.4926, uni_subSolve=2.2697, uni_maintain_time=0.217309, bi_search=1.59105, bi_subSolve=2.97566, bi_maintain_time=0.439117, admm_maintain=3.33804, area4=5.77901, infea=0.951263, d_obj=-27.1188, overall time=1180.58
i=57, a_nnz=5.50689, ever_a_nnz=17.5732, b_nnz=235.32, uni_search=17.2364, uni_subSolve=1.97477, uni_maintain_time=0.193081, bi_search=1.24538, bi_subSolve=1.93711, bi_maintain_time=0.41389, admm_maintain=2.6046, area4=5.79076, infea=0.823215, d_obj=-25.3123, overall time=1208.35
i=58, a_nnz=5.51832, ever_a_nnz=17.6816, b_nnz=239.064, uni_search=18.7036, uni_subSolve=2.17235, uni_maintain_time=0.204455, bi_search=2.08684, bi_subSolve=3.29958, bi_maintain_time=0.522737, admm_maintain=2.65164, area4=5.7485, infea=0.795844, d_obj=-16.2396, overall time=1240.86
i=59, a_nnz=5.51258, ever_a_nnz=17.7896, b_nnz=242.774, uni_search=20.3117, uni_subSolve=2.2247, uni_maintain_time=0.224959, bi_search=1.27132, bi_subSolve=2.21828, bi_maintain_time=0.365513, admm_maintain=3.45528, area4=5.69539, infea=0.710858, d_obj=-24.0506, p_obj=-13246.4, heldout Acc=1 (5/50), overall time=1273.14
i=60, a_nnz=5.52515, ever_a_nnz=17.8947, b_nnz=246.454, uni_search=17.9731, uni_subSolve=2.02217, uni_maintain_time=0.170366, bi_search=1.25904, bi_subSolve=2.28303, bi_maintain_time=0.357515, admm_maintain=2.77447, area4=5.6599, infea=0.687357, d_obj=-23.5042, overall time=1302.36
i=61, a_nnz=5.54187, ever_a_nnz=18.0021, b_nnz=250.203, uni_search=18.8093, uni_subSolve=2.08964, uni_maintain_time=0.188837, bi_search=1.53856, bi_subSolve=2.70811, bi_maintain_time=0.413878, admm_maintain=3.11414, area4=5.65901, infea=2.96414, d_obj=55.2153, overall time=1333.57
i=62, a_nnz=5.5436, ever_a_nnz=18.1011, b_nnz=253.77, uni_search=16.4385, uni_subSolve=1.86499, uni_maintain_time=0.174107, bi_search=1.5197, bi_subSolve=2.62463, bi_maintain_time=0.474204, admm_maintain=2.92054, area4=5.75233, infea=0.691834, d_obj=-21.778, overall time=1361.83
i=63, a_nnz=5.54347, ever_a_nnz=18.1987, b_nnz=257.352, uni_search=20.3798, uni_subSolve=2.36254, uni_maintain_time=0.235563, bi_search=1.78721, bi_subSolve=3.00143, bi_maintain_time=0.45531, admm_maintain=1.66235, area4=5.78629, infea=3.27555, d_obj=384.368, overall time=1393.11
i=64, a_nnz=5.55534, ever_a_nnz=18.3024, b_nnz=261.161, uni_search=16.4334, uni_subSolve=1.86997, uni_maintain_time=0.196457, bi_search=1.26177, bi_subSolve=2.15261, bi_maintain_time=0.369236, admm_maintain=1.8786, area4=5.81476, infea=0.827051, d_obj=16.9061, overall time=1420.12
i=65, a_nnz=5.55796, ever_a_nnz=18.4035, b_nnz=264.903, uni_search=18.5694, uni_subSolve=2.02757, uni_maintain_time=0.1873, bi_search=1.49491, bi_subSolve=2.81547, bi_maintain_time=0.390527, admm_maintain=2.79941, area4=5.97421, infea=0.898086, d_obj=-19.4899, overall time=1451.41
i=66, a_nnz=5.5577, ever_a_nnz=18.5075, b_nnz=268.682, uni_search=18.1812, uni_subSolve=2.09052, uni_maintain_time=0.20778, bi_search=1.86688, bi_subSolve=3.32128, bi_maintain_time=0.519753, admm_maintain=2.99007, area4=6.03894, infea=0.997158, d_obj=-12.4026, overall time=1483.45
i=67, a_nnz=5.5653, ever_a_nnz=18.6068, b_nnz=272.488, uni_search=20.2616, uni_subSolve=2.20154, uni_maintain_time=0.181255, bi_search=1.57486, bi_subSolve=2.91095, bi_maintain_time=0.421834, admm_maintain=2.87259, area4=6.13098, infea=1.04088, d_obj=-20.0573, overall time=1516.28
i=68, a_nnz=5.58158, ever_a_nnz=18.6971, b_nnz=276.005, uni_search=18.4943, uni_subSolve=2.12253, uni_maintain_time=0.214839, bi_search=1.44055, bi_subSolve=2.53448, bi_maintain_time=0.400895, admm_maintain=2.68703, area4=6.18677, infea=1.14571, d_obj=-20.7758, overall time=1547.66
i=69, a_nnz=5.58828, ever_a_nnz=18.7887, b_nnz=279.592, uni_search=20.7561, uni_subSolve=2.3771, uni_maintain_time=0.228348, bi_search=1.85376, bi_subSolve=3.19403, bi_maintain_time=0.460215, admm_maintain=3.3638, area4=6.21652, infea=1.2259, d_obj=-15.0602
