using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=53, a_nnz=5.99789, ever_a_nnz=16.6, b_nnz=203.179, uni_search=6.90321, uni_subSolve=0.83537, uni_maintain_time=0.132199, bi_search=0.59346, bi_subSolve=0.933264, bi_maintain_time=0.27262, admm_maintain=0.986993, area4=4.01902, infea=1.50783, d_obj=-14.8432, overall time=424.816
i=54, a_nnz=6.00983, ever_a_nnz=16.7041, b_nnz=206.374, uni_search=10.5059, uni_subSolve=1.05665, uni_maintain_time=0.141847, bi_search=0.70521, bi_subSolve=1.16397, bi_maintain_time=0.310996, admm_maintain=1.23219, area4=4.11183, infea=1.87958, d_obj=-12.7002, overall time=439.943
i=55, a_nnz=6.01085, ever_a_nnz=16.8043, b_nnz=209.626, uni_search=10.516, uni_subSolve=1.06704, uni_maintain_time=0.141076, bi_search=0.714463, bi_subSolve=1.18115, bi_maintain_time=0.300563, admm_maintain=1.25399, area4=3.994, infea=1.64993, d_obj=-15.2697, overall time=455.127
i=56, a_nnz=6.03492, ever_a_nnz=16.9076, b_nnz=213.038, uni_search=10.5808, uni_subSolve=1.06651, uni_maintain_time=0.141278, bi_search=0.722335, bi_subSolve=1.18157, bi_maintain_time=0.301478, admm_maintain=0.955108, area4=4.00753, infea=6.34383, d_obj=20.2484, overall time=470.09
i=57, a_nnz=6.039, ever_a_nnz=17.0085, b_nnz=216.276, uni_search=7.14184, uni_subSolve=0.882494, uni_maintain_time=0.135368, bi_search=0.636477, bi_subSolve=0.994887, bi_maintain_time=0.277635, admm_maintain=0.996215, area4=4.15639, infea=3.11146, d_obj=-14.0344, overall time=481.164
i=58, a_nnz=6.05228, ever_a_nnz=17.1035, b_nnz=219.466, uni_search=7.60642, uni_subSolve=0.987497, uni_maintain_time=0.163633, bi_search=0.685787, bi_subSolve=1.07853, bi_maintain_time=0.319084, admm_maintain=1.08242, area4=4.00166, infea=2.39356, d_obj=-16.3633, overall time=493.099
i=59, a_nnz=6.06588, ever_a_nnz=17.1995, b_nnz=222.52, uni_search=7.68198, uni_subSolve=0.996601, uni_maintain_time=0.164329, bi_search=0.684283, bi_subSolve=1.079, bi_maintain_time=0.315392, admm_maintain=0.876981, area4=4.1726, infea=1.99756, d_obj=-14.7188., heldout Acc=0.993333 (4/100), overall time=504.908
i=60, a_nnz=6.07462, ever_a_nnz=17.2908, b_nnz=225.756, uni_search=7.47986, uni_subSolve=0.856711, uni_maintain_time=0.126854, bi_search=0.593827, bi_subSolve=0.978125, bi_maintain_time=0.265626, admm_maintain=0.973817, area4=4.22456, infea=1.69603, d_obj=-15.3825, overall time=516.193
i=61, a_nnz=6.08554, ever_a_nnz=17.379, b_nnz=228.87, uni_search=6.73088, uni_subSolve=0.711126, uni_maintain_time=0.105676, bi_search=0.51947, bi_subSolve=0.885629, bi_maintain_time=0.237723, admm_maintain=0.828749, area4=4.40061, infea=1.70512, d_obj=-17.5148, overall time=526.22
i=62, a_nnz=6.09856, ever_a_nnz=17.4666, b_nnz=232.007, uni_search=6.54552, uni_subSolve=0.726026, uni_maintain_time=0.107547, bi_search=0.61019, bi_subSolve=0.990272, bi_maintain_time=0.264791, admm_maintain=0.931725, area4=4.47338, infea=1.37791, d_obj=-18.03, overall time=536.405
i=63, a_nnz=6.11637, ever_a_nnz=17.5562, b_nnz=235.22, uni_search=6.97396, uni_subSolve=0.831333, uni_maintain_time=0.121222, bi_search=0.5965, bi_subSolve=0.97759, bi_maintain_time=0.260587, admm_maintain=0.938493, area4=4.4707, infea=2.72541, d_obj=21.6446, overall time=547.114
i=64, a_nnz=6.12486, ever_a_nnz=17.6434, b_nnz=238.194, uni_search=6.99863, uni_subSolve=0.836788, uni_maintain_time=0.120616, bi_search=0.605619, bi_subSolve=0.994886, bi_maintain_time=0.263823, admm_maintain=0.974042, area4=4.49049, infea=1.97459, d_obj=-16.0971, overall time=557.917
i=65, a_nnz=6.13347, ever_a_nnz=17.7284, b_nnz=241.286, uni_search=11.1783, uni_subSolve=1.22325, uni_maintain_time=0.146362, bi_search=0.975178, bi_subSolve=1.59976, bi_maintain_time=0.374213, admm_maintain=1.7422, area4=4.28993, infea=1.88425, d_obj=-18.146, overall time=575.174
i=66, a_nnz=6.14037, ever_a_nnz=17.8088, b_nnz=244.262, uni_search=7.50437, uni_subSolve=0.949969, uni_maintain_time=0.13592, bi_search=0.711046, bi_subSolve=1.12042, bi_maintain_time=0.300898, admm_maintain=1.10823, area4=4.57909, infea=1.67703, d_obj=-19.1485, overall time=587.015
i=67, a_nnz=6.14471, ever_a_nnz=17.8866, b_nnz=246.997, uni_search=7.21585, uni_subSolve=0.886127, uni_maintain_time=0.126747, bi_search=0.522794, bi_subSolve=0.904381, bi_maintain_time=0.236485, admm_maintain=0.839817, area4=4.7462, infea=1.56446, d_obj=-19.1428, overall time=597.755
i=68, a_nnz=6.1553, ever_a_nnz=17.9639, b_nnz=249.887, uni_search=6.49902, uni_subSolve=0.725896, uni_maintain_time=0.102907, bi_search=0.529895, bi_subSolve=0.918398, bi_maintain_time=0.238334, admm_maintain=0.854663, area4=4.55317, infea=1.99037, d_obj=-17.5139, overall time=607.633
i=69, a_nnz=6.17145, ever_a_nnz=18.0369, b_nnz=252.62, uni_search=6.55185, uni_subSolve=0.734442, uni_maintain_time=0.102376, bi_search=0.540081, bi_subSolve=0.932737, bi_maintain_time=0.239176, admm_maintain=0.997209, area4=4.68045, infea=1.6218, d_obj=-20.3076., heldout Acc=0.995309 (5/100), overall time=617.739
i=70, a_nnz=6.17835, ever_a_nnz=18.113, b_nnz=255.419, uni_search=8.95259, uni_subSolve=0.984569, uni_maintain_time=0.127901, bi_search=0.722498, bi_subSolve=1.14388, bi_maintain_time=0.306809, admm_maintain=1.126, area4=4.53938, infea=1.81358, d_obj=-17.3304, overall time=631.112
i=71, a_nnz=6.18894, ever_a_nnz=18.1882, b_nnz=258.29, uni_search=7.50164, uni_subSolve=0.956322, uni_maintain_time=0.133348, bi_search=0.727583, bi_subSolve=1.15593, bi_maintain_time=0.307552, admm_maintain=1.13238, area4=4.33423, infea=1.92868, d_obj=-18.9604, overall time=643.036
i=72, a_nnz=6.20305, ever_a_nnz=18.2634, b_nnz=261.219, uni_search=7.58145, uni_subSolve=0.974166, uni_maintain_time=0.135251, bi_search=0.735901, bi_subSolve=1.17005, bi_maintain_time=0.308617, admm_maintain=1.15431, area4=4.33716, infea=1.63619, d_obj=-21.7116, overall time=655.106
i=73, a_nnz=6.21952, ever_a_nnz=18.3358, b_nnz=263.915, uni_search=7.70909, uni_subSolve=0.981378, uni_maintain_time=0.135323, bi_search=0.841469, bi_subSolve=1.43388, bi_maintain_time=0.35437, admm_maintain=1.04115, area4=4.36167, infea=2.36003, d_obj=-17.8014, overall time=667.612
i=74, a_nnz=6.22048, ever_a_nnz=18.4036, b_nnz=266.621, uni_search=6.50442, uni_subSolve=0.734269, uni_maintain_time=0.101689, bi_search=0.547692, bi_subSolve=0.949578, bi_maintain_time=0.243426, admm_maintain=0.882915, area4=4.16801, infea=1.68133, d_obj=-21.99, overall time=677.585
i=75, a_nnz=6.22967, ever_a_nnz=18.4731, b_nnz=269.318, uni_search=9.10421, uni_subSolve=1.0288, uni_maintain_time=0.128528, bi_search=0.790163, bi_subSolve=1.34401, bi_maintain_time=0.322308, admm_maintain=1.39342, area4=4.23912, infea=1.84539, d_obj=-20.2621, overall time=691.706
i=76, a_nnz=6.24467, ever_a_nnz=18.5481, b_nnz=272.252, uni_search=7.11526, uni_subSolve=0.797566, uni_maintain_time=0.105464, bi_search=0.946368, bi_subSolve=1.54358, bi_maintain_time=0.37246, admm_maintain=1.78376, area4=4.10622, infea=1.65022, d_obj=-21.5632, overall time=704.38
i=77, a_nnz=6.25016, ever_a_nnz=18.6173, b_nnz=275.011, uni_search=9.057, uni_subSolve=1.081, uni_maintain_time=0.138358, bi_search=0.677276, bi_subSolve=1.12855, bi_maintain_time=0.284649, admm_maintain=1.09903, area4=4.10252, infea=2.87342, d_obj=-13.7289, overall time=717.856
i=78, a_nnz=6.24378, ever_a_nnz=18.6887, b_nnz=277.814, uni_search=7.3796, uni_subSolve=0.91687, uni_maintain_time=0.12236, bi_search=0.691082, bi_subSolve=1.14866, bi_maintain_time=0.292244, admm_maintain=1.12669, area4=4.02809, infea=2.02607, d_obj=-20.6003, overall time=729.542
i=79, a_nnz=6.25386, ever_a_nnz=18.7542, b_nnz=280.538, uni_search=7.37236, uni_subSolve=0.915338, uni_maintain_time=0.120872, bi_search=0.701668, bi_subSolve=1.15927, bi_maintain_time=0.294242, admm_maintain=1.06976, area4=4.07775, infea=1.87884, d_obj=-21.0343., heldout Acc=0.994815 (6/100), overall time=741.186
i=80, a_nnz=6.2665, ever_a_nnz=18.8158, b_nnz=283.092, uni_search=6.72561, uni_subSolve=0.77049, uni_maintain_time=0.101531, bi_search=0.5821, bi_subSolve=1.01687, bi_maintain_time=0.251761, admm_maintain=0.952122, area4=4.19443, infea=4.3907, d_obj=-1.54566, overall time=751.596
i=81, a_nnz=6.27212, ever_a_nnz=18.8824, b_nnz=285.752, uni_search=8.68973, uni_subSolve=0.958965, uni_maintain_time=0.115327, bi_search=0.853107, bi_subSolve=1.46086, bi_maintain_time=0.335521, admm_maintain=1.47113, area4=4.24793, infea=2.68382, d_obj=-17.577, overall time=765.491
i=82, a_nnz=6.27818, ever_a_nnz=18.9507, b_nnz=288.425, uni_search=7.50091, uni_subSolve=0.944864, uni_maintain_time=0.124097, bi_search=0.804817, bi_subSolve=1.29019, bi_maintain_time=0.33362, admm_maintain=1.26962, area4=4.1929, infea=3.51623, d_obj=-11.1872, overall time=777.768
i=83, a_nnz=6.27646, ever_a_nnz=19.0158, b_nnz=291.05, uni_search=8.76453, uni_subSolve=1.08494, uni_maintain_time=0.140331, bi_search=0.780292, bi_subSolve=1.26499, bi_maintain_time=0.324941, admm_maintain=1.23802, area4=4.0383, infea=4.62186, d_obj=-10.5958, overall time=791.376
