using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.100
D=47237
K=225
N=20835
d=75.9802
r=6
i=74, a_nnz=10.8104, ever_a_nnz=13.6987, b_nnz=153.68, uni_search=5.26801, uni_subSolve=1.62747, uni_maintain_time=0.118843, bi_search=1.08482, bi_subSolve=1.39181, bi_maintain_time=0.30295, admm_maintain=1.38855, area4=1.09494, infea=614.082, d_obj=12631.8, overall time=583.705
i=75, a_nnz=10.8609, ever_a_nnz=13.7639, b_nnz=155.663, uni_search=5.22817, uni_subSolve=1.79807, uni_maintain_time=0.133276, bi_search=1.5071, bi_subSolve=1.70088, bi_maintain_time=0.367426, admm_maintain=1.29516, area4=1.10223, infea=611.868, d_obj=12515.8, overall time=595.749
i=76, a_nnz=10.9045, ever_a_nnz=13.8245, b_nnz=157.557, uni_search=5.4576, uni_subSolve=1.95116, uni_maintain_time=0.140713, bi_search=1.10392, bi_subSolve=1.41589, bi_maintain_time=0.316936, admm_maintain=1.41134, area4=1.10194, infea=610.892, d_obj=12376.8, overall time=607.561
i=77, a_nnz=10.9491, ever_a_nnz=13.8867, b_nnz=159.492, uni_search=5.03795, uni_subSolve=1.55376, uni_maintain_time=0.118987, bi_search=0.778082, bi_subSolve=0.919265, bi_maintain_time=0.25559, admm_maintain=1.42837, area4=1.10521, infea=605.866, d_obj=12255.8, overall time=617.666
i=78, a_nnz=10.996, ever_a_nnz=13.9497, b_nnz=161.503, uni_search=3.89906, uni_subSolve=1.33348, uni_maintain_time=0.126962, bi_search=0.879045, bi_subSolve=1.01593, bi_maintain_time=0.274092, admm_maintain=1.08619, area4=1.10252, infea=611.802, d_obj=12148.4, overall time=626.293
i=79, a_nnz=11.0385, ever_a_nnz=14.012, b_nnz=163.488, uni_search=4.15673, uni_subSolve=1.47928, uni_maintain_time=0.132807, bi_search=1.02652, bi_subSolve=1.16792, bi_maintain_time=0.300206, admm_maintain=1.15751, area4=1.103, infea=609.964, d_obj=12019.9, overall time=635.727
i=80, a_nnz=11.0825, ever_a_nnz=14.0712, b_nnz=165.432, uni_search=4.10815, uni_subSolve=1.38865, uni_maintain_time=0.127043, bi_search=1.14761, bi_subSolve=1.48002, bi_maintain_time=0.315832, admm_maintain=1.48033, area4=1.10041, infea=604.831, d_obj=11899.2, overall time=645.788
i=81, a_nnz=11.1248, ever_a_nnz=14.1284, b_nnz=167.322, uni_search=4.10732, uni_subSolve=1.36835, uni_maintain_time=0.123421, bi_search=0.868315, bi_subSolve=1.00535, bi_maintain_time=0.270867, admm_maintain=1.22348, area4=1.1077, infea=604.665, d_obj=11773.3, overall time=654.767
i=82, a_nnz=11.1637, ever_a_nnz=14.1862, b_nnz=169.231, uni_search=4.18607, uni_subSolve=1.40245, uni_maintain_time=0.124861, bi_search=0.968455, bi_subSolve=1.11116, bi_maintain_time=0.288244, admm_maintain=1.3336, area4=1.11231, infea=599.004, d_obj=11641.7, overall time=664.195
i=83, a_nnz=11.2039, ever_a_nnz=14.2448, b_nnz=171.184, uni_search=3.78675, uni_subSolve=1.31136, uni_maintain_time=0.12222, bi_search=1.09902, bi_subSolve=1.24407, bi_maintain_time=0.301611, admm_maintain=1.30567, area4=1.1102, infea=594.225, d_obj=11516.5, overall time=673.378
i=84, a_nnz=11.245, ever_a_nnz=14.3018, b_nnz=173.096, uni_search=4.8367, uni_subSolve=1.75596, uni_maintain_time=0.13516, bi_search=1.37691, bi_subSolve=1.58212, bi_maintain_time=0.358462, admm_maintain=1.70977, area4=1.11769, infea=595.296, d_obj=11363, overall time=685.152
