using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.10
D=47237
K=225
N=20835
d=75.9802
r=6
i=49, a_nnz=9.41934, ever_a_nnz=11.817, b_nnz=103.79, uni_search=5.2287, uni_subSolve=1.77585, uni_maintain_time=0.158236, bi_search=1.06068, bi_subSolve=1.23872, bi_maintain_time=0.348697, admm_maintain=1.14443, area4=1.05731, infea=661.643, d_obj=14369.6, p_obj=595211, heldout Acc=0.995556 (2/100), overall time=413.91
i=50, a_nnz=9.48198, ever_a_nnz=11.9031, b_nnz=105.789, uni_search=6.37867, uni_subSolve=2.18257, uni_maintain_time=0.181167, bi_search=0.912657, bi_subSolve=1.05336, bi_maintain_time=0.267204, admm_maintain=1.29567, area4=1.06192, infea=665.243, d_obj=14311.4, overall time=427.262
i=51, a_nnz=9.54327, ever_a_nnz=11.9853, b_nnz=107.707, uni_search=5.34513, uni_subSolve=1.66192, uni_maintain_time=0.165101, bi_search=1.25429, bi_subSolve=1.38739, bi_maintain_time=0.328878, admm_maintain=1.18678, area4=1.06096, infea=653.725, d_obj=14226.3, overall time=440.127
i=52, a_nnz=9.60744, ever_a_nnz=12.0675, b_nnz=109.674, uni_search=6.52087, uni_subSolve=2.03597, uni_maintain_time=0.191009, bi_search=1.03904, bi_subSolve=1.17015, bi_maintain_time=0.301424, admm_maintain=1.13913, area4=1.06479, infea=660.766, d_obj=14166.4, overall time=453.653
i=53, a_nnz=9.66662, ever_a_nnz=12.1506, b_nnz=111.653, uni_search=5.26626, uni_subSolve=1.55276, uni_maintain_time=0.122151, bi_search=1.33654, bi_subSolve=1.57014, bi_maintain_time=0.410663, admm_maintain=1.59656, area4=1.06575, infea=655.544, d_obj=14098.6, overall time=466.948
i=54, a_nnz=9.7257, ever_a_nnz=12.2296, b_nnz=113.571, uni_search=6.24273, uni_subSolve=1.98746, uni_maintain_time=0.20993, bi_search=0.867269, bi_subSolve=1.06557, bi_maintain_time=0.248317, admm_maintain=0.907573, area4=1.07401, infea=656.59, d_obj=14060.3, overall time=480.061
i=55, a_nnz=9.78157, ever_a_nnz=12.3069, b_nnz=115.483, uni_search=6.32118, uni_subSolve=2.18783, uni_maintain_time=0.191579, bi_search=0.972034, bi_subSolve=1.17142, bi_maintain_time=0.281071, admm_maintain=1.17707, area4=1.07526, infea=649.643, d_obj=14018.1, overall time=493.397
i=56, a_nnz=9.84128, ever_a_nnz=12.3849, b_nnz=117.424, uni_search=4.78504, uni_subSolve=1.51883, uni_maintain_time=0.123074, bi_search=0.778454, bi_subSolve=0.931688, bi_maintain_time=0.250161, admm_maintain=1.56661, area4=1.06959, infea=643.97, d_obj=13980.7, overall time=505.063
i=57, a_nnz=9.89734, ever_a_nnz=12.4631, b_nnz=119.408, uni_search=5.5021, uni_subSolve=1.78864, uni_maintain_time=0.149493, bi_search=0.869339, bi_subSolve=1.11269, bi_maintain_time=0.298599, admm_maintain=1.04495, area4=1.0719, infea=643.098, d_obj=13964.9, overall time=516.631
i=58, a_nnz=9.95599, ever_a_nnz=12.5403, b_nnz=121.399, uni_search=5.42954, uni_subSolve=1.55509, uni_maintain_time=0.175712, bi_search=1.27454, bi_subSolve=1.64358, bi_maintain_time=0.356845, admm_maintain=1.05376, area4=1.07382, infea=647.073, d_obj=13938.2, overall time=529.534
