using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=54, a_nnz=8.16952, ever_a_nnz=8.23403, b_nnz=85.0675, uni_search=8.15622, uni_subSolve=0.588639, uni_maintain_time=0.0785387, bi_search=47.5932, bi_subSolve=0.580065, bi_maintain_time=0.266865, admm_maintain=0.246894, area4=-nan, infea=1016.53, d_obj=-17860.7, overall time=3009.12
i=55, a_nnz=8.20998, ever_a_nnz=8.27483, b_nnz=86.5404, uni_search=4.65559, uni_subSolve=0.351059, uni_maintain_time=0.0671305, bi_search=46.0696, bi_subSolve=0.46529, bi_maintain_time=0.195096, admm_maintain=0.236794, area4=-nan, infea=960.486, d_obj=-18000.7, overall time=3061.48
i=56, a_nnz=8.24838, ever_a_nnz=8.31418, b_nnz=88.0443, uni_search=5.05623, uni_subSolve=0.37745, uni_maintain_time=0.0674066, bi_search=45.9869, bi_subSolve=0.423593, bi_maintain_time=0.175452, admm_maintain=0.284426, area4=-nan, infea=971.843, d_obj=-18074, overall time=3114.18
i=57, a_nnz=8.28831, ever_a_nnz=8.35508, b_nnz=89.5904, uni_search=5.48346, uni_subSolve=0.426452, uni_maintain_time=0.0721409, bi_search=45.9049, bi_subSolve=0.42975, bi_maintain_time=0.182566, admm_maintain=0.218895, area4=-nan, infea=971.4, d_obj=-18154.7, overall time=3167.14
i=58, a_nnz=8.32609, ever_a_nnz=8.39357, b_nnz=91.076, uni_search=4.56869, uni_subSolve=0.329341, uni_maintain_time=0.0643603, bi_search=45.659, bi_subSolve=0.402031, bi_maintain_time=0.166326, admm_maintain=0.238488, area4=-nan, infea=949.866, d_obj=-18255.6, overall time=3218.82
i=59, a_nnz=8.36491, ever_a_nnz=8.43302, b_nnz=92.5953, uni_search=6.04921, uni_subSolve=0.437425, uni_maintain_time=0.0632942, bi_search=48.3722, bi_subSolve=0.767081, bi_maintain_time=0.341783, admm_maintain=0.643591, area4=-nan, infea=948.967, d_obj=-18334.9, p_obj=21607.2.........., heldout Acc=0.995044, overall time=3276.25
i=60, a_nnz=8.40379, ever_a_nnz=8.47276, b_nnz=94.137, uni_search=6.67033, uni_subSolve=0.552705, uni_maintain_time=0.0849216, bi_search=46.8687, bi_subSolve=0.618669, bi_maintain_time=0.264089, admm_maintain=0.259882, area4=-nan, infea=954.547, d_obj=-18406.2, overall time=3331.86
i=61, a_nnz=8.43984, ever_a_nnz=8.50986, b_nnz=95.5921, uni_search=5.08546, uni_subSolve=0.358647, uni_maintain_time=0.0590232, bi_search=45.8413, bi_subSolve=0.459392, bi_maintain_time=0.197665, admm_maintain=0.233818, area4=-nan, infea=932.652, d_obj=-18505.5, overall time=3384.45
i=62, a_nnz=8.47449, ever_a_nnz=8.54524, b_nnz=97.0217, uni_search=5.0095, uni_subSolve=0.374189, uni_maintain_time=0.0623623, bi_search=46.2351, bi_subSolve=0.595363, bi_maintain_time=0.2598, admm_maintain=0.433726, area4=-nan, infea=897.683, d_obj=-18615, overall time=3437.88
i=63, a_nnz=8.50958, ever_a_nnz=8.58138, b_nnz=98.4856, uni_search=6.45001, uni_subSolve=0.537007, uni_maintain_time=0.0847937, bi_search=46.4986, bi_subSolve=0.60645, bi_maintain_time=0.270922, admm_maintain=0.782558, area4=-nan, infea=914.547, d_obj=-18672.7, overall time=3493.8
i=64, a_nnz=8.54404, ever_a_nnz=8.61709, b_nnz=99.9909, uni_search=4.88245, uni_subSolve=0.390308, uni_maintain_time=0.0731052, bi_search=46.0566, bi_subSolve=0.492305, bi_maintain_time=0.214719, admm_maintain=0.324395, area4=-nan, infea=893.214, d_obj=-18766.1, overall time=3546.59
i=65, a_nnz=8.57639, ever_a_nnz=8.6502, b_nnz=101.394, uni_search=5.6029, uni_subSolve=0.442833, uni_maintain_time=0.0800145, bi_search=45.9499, bi_subSolve=0.48427, bi_maintain_time=0.214902, admm_maintain=0.320999, area4=-nan, infea=883.953, d_obj=-18846.4, overall time=3600.03
