using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=56, a_nnz=9.88534, ever_a_nnz=12.4479, b_nnz=119.057, uni_search=3.88874, uni_subSolve=1.14982, uni_maintain_time=0.110276, bi_search=0.709693, bi_subSolve=0.856184, bi_maintain_time=0.220693, admm_maintain=0.859407, area4=1.06902, infea=657.383, d_obj=14253.9, overall time=339.182
i=57, a_nnz=9.94312, ever_a_nnz=12.5247, b_nnz=121.016, uni_search=3.77634, uni_subSolve=1.16125, uni_maintain_time=0.110896, bi_search=0.734095, bi_subSolve=0.877425, bi_maintain_time=0.221438, admm_maintain=0.888919, area4=1.0719, infea=655.513, d_obj=14245.5, overall time=347.782
i=58, a_nnz=10.0005, ever_a_nnz=12.6011, b_nnz=122.976, uni_search=3.78539, uni_subSolve=1.16813, uni_maintain_time=0.109831, bi_search=0.734789, bi_subSolve=0.874883, bi_maintain_time=0.221926, admm_maintain=0.88141, area4=1.07103, infea=650.787, d_obj=14226, overall time=356.391
i=59, a_nnz=10.0538, ever_a_nnz=12.6763, b_nnz=124.933, uni_search=3.75207, uni_subSolve=1.15958, uni_maintain_time=0.109154, bi_search=0.732213, bi_subSolve=0.877192, bi_maintain_time=0.224095, admm_maintain=0.874371, area4=1.07055, infea=646.354, d_obj=14201.2, overall time=364.964
i=60, a_nnz=10.1073, ever_a_nnz=12.7486, b_nnz=126.825, uni_search=3.79039, uni_subSolve=1.16871, uni_maintain_time=0.108833, bi_search=0.747502, bi_subSolve=0.894559, bi_maintain_time=0.23173, admm_maintain=0.902382, area4=1.07555, infea=636.779, d_obj=14152.4, overall time=373.67
i=61, a_nnz=10.1576, ever_a_nnz=12.8216, b_nnz=128.766, uni_search=3.79173, uni_subSolve=1.16399, uni_maintain_time=0.10993, bi_search=0.745423, bi_subSolve=0.89333, bi_maintain_time=0.228642, admm_maintain=0.904967, area4=1.07583, infea=634.783, d_obj=14108.8, overall time=382.353
i=62, a_nnz=10.2104, ever_a_nnz=12.8926, b_nnz=130.69, uni_search=3.81212, uni_subSolve=1.17205, uni_maintain_time=0.109841, bi_search=0.765267, bi_subSolve=0.919504, bi_maintain_time=0.230914, admm_maintain=0.916834, area4=1.07257, infea=629.38, d_obj=14050.6, overall time=391.156
i=63, a_nnz=10.2622, ever_a_nnz=12.9639, b_nnz=132.605, uni_search=3.8556, uni_subSolve=1.187, uni_maintain_time=0.109834, bi_search=0.785241, bi_subSolve=0.938374, bi_maintain_time=0.233585, admm_maintain=0.952148, area4=1.07564, infea=630.143, d_obj=13968.7, overall time=400.115
i=64, a_nnz=10.315, ever_a_nnz=13.0367, b_nnz=134.634, uni_search=3.93531, uni_subSolve=1.21391, uni_maintain_time=0.112947, bi_search=0.794083, bi_subSolve=0.951536, bi_maintain_time=0.241357, admm_maintain=0.979181, area4=1.07516, infea=632.923, d_obj=13884.6, overall time=409.238
i=65, a_nnz=10.372, ever_a_nnz=13.109, b_nnz=136.647, uni_search=3.98171, uni_subSolve=1.24779, uni_maintain_time=0.110679, bi_search=0.805993, bi_subSolve=0.96618, bi_maintain_time=0.240103, admm_maintain=0.965496, area4=1.08515, infea=628.078, d_obj=13781.1, overall time=418.451
