using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=100
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=3, admm_step_size=1, C=1, eta=0.1
i=52, infea=0.0498763, nnz_a=4.25035, nnz_b=5.58635, uni_search=0.262635, uni_subSolve=0.0850489, uni_maintain=0.0527175, bi_search=0.84818, bi_subSolve=0.0971173, bi_maintain=0.0858297, admm_maintain=0.146417, area1=106.102, area23=1.69995, area4=9.28576, dual_obj=-22864.6, p_obj=21163.8, heldout Acc=0.92853 (6/100), overall time=110.935
i=53, infea=0.0485322, nnz_a=4.24341, nnz_b=5.57216, uni_search=0.26348, uni_subSolve=0.0854683, uni_maintain=0.0525341, bi_search=0.853004, bi_subSolve=0.0966519, bi_maintain=0.0861321, admm_maintain=0.148048, area1=107.4, area23=1.69741, area4=9.30733, dual_obj=-22799.2, p_obj=22645.4, heldout Acc=0.928593 (7/100), overall time=113.423
i=54, infea=0.0472273, nnz_a=4.2401, nnz_b=5.55596, uni_search=0.259657, uni_subSolve=0.0853722, uni_maintain=0.0529494, bi_search=0.859289, bi_subSolve=0.0966439, bi_maintain=0.0865705, admm_maintain=0.145693, area1=108.617, area23=1.69465, area4=9.31996, dual_obj=-22737.5, p_obj=20439.7, heldout Acc=0.928819, overall time=115.906
i=55, infea=0.0459974, nnz_a=4.23855, nnz_b=5.54297, uni_search=0.234474, uni_subSolve=0.0789211, uni_maintain=0.049668, bi_search=0.83523, bi_subSolve=0.0881755, bi_maintain=0.0803289, admm_maintain=0.142677, area1=109.769, area23=1.69146, area4=9.32936, dual_obj=-22677.2, p_obj=20258.5, heldout Acc=0.928422 (1/100), overall time=118.25
i=56, infea=0.044817, nnz_a=4.23575, nnz_b=5.53117, uni_search=0.233875, uni_subSolve=0.0789136, uni_maintain=0.0504474, bi_search=0.835517, bi_subSolve=0.0878731, bi_maintain=0.0798059, admm_maintain=0.139106, area1=110.903, area23=1.68828, area4=9.34295, dual_obj=-22619.9, p_obj=21814.3, heldout Acc=0.9289, overall time=120.587
i=57, infea=0.0436407, nnz_a=4.23655, nnz_b=5.51969, uni_search=0.223565, uni_subSolve=0.0773976, uni_maintain=0.0490491, bi_search=0.829592, bi_subSolve=0.0870312, bi_maintain=0.0785516, admm_maintain=0.141772, area1=111.929, area23=1.68541, area4=9.35677, dual_obj=-22566.9, p_obj=19442.4, heldout Acc=0.92853 (1/100), overall time=122.896
i=58, infea=0.0425052, nnz_a=4.23729, nnz_b=5.50616, uni_search=0.233829, uni_subSolve=0.0789147, uni_maintain=0.049627, bi_search=0.84103, bi_subSolve=0.0876222, bi_maintain=0.0795691, admm_maintain=0.138709, area1=112.941, area23=1.68284, area4=9.35881, dual_obj=-22514.6, p_obj=19210.7, heldout Acc=0.928575 (2/100), overall time=125.235
i=59, infea=0.0414139, nnz_a=4.24146, nnz_b=5.4951, uni_search=0.234674, uni_subSolve=0.0788607, uni_maintain=0.0504605, bi_search=0.842614, bi_subSolve=0.0873356, bi_maintain=0.0789101, admm_maintain=0.140337, area1=113.89, area23=1.6806, area4=9.34562, dual_obj=-22464.5, p_obj=20750, heldout Acc=0.929008, overall time=127.581
i=60, infea=0.0403777, nnz_a=4.24653, nnz_b=5.48617, uni_search=0.235118, uni_subSolve=0.0790175, uni_maintain=0.0494576, bi_search=0.846474, bi_subSolve=0.0870885, bi_maintain=0.078185, admm_maintain=0.136045, area1=114.791, area23=1.67851, area4=9.36051, dual_obj=-22419.7, p_obj=20614.3, heldout Acc=0.928693 (1/100), overall time=129.917
i=61, infea=0.0393793, nnz_a=4.25343, nnz_b=5.47802, uni_search=0.226743, uni_subSolve=0.078013, uni_maintain=0.0490014, bi_search=0.836863, bi_subSolve=0.0861826, bi_maintain=0.0771138, admm_maintain=0.140941, area1=115.654, area23=1.67669, area4=9.35942, dual_obj=-22375.3, p_obj=20386.2, heldout Acc=0.928927 (2/100), overall time=132.242
i=62, infea=0.0384325, nnz_a=4.25955, nnz_b=5.46727, uni_search=0.23277, uni_subSolve=0.0788403, uni_maintain=0.0496928, bi_search=0.849607, bi_subSolve=0.0871987, bi_maintain=0.0780464, admm_maintain=0.140795, area1=116.465, area23=1.67382, area4=9.36596, dual_obj=-22333.7, p_obj=21918.7, heldout Acc=0.928593 (3/100), overall time=134.593
i=63, infea=0.0375249, nnz_a=4.26543, nnz_b=5.46168, uni_search=0.202258, uni_subSolve=0.0742114, uni_maintain=0.0482067, bi_search=0.796725, bi_subSolve=0.0826924, bi_maintain=0.0702853, admm_maintain=0.123991, area1=117.261, area23=1.67197, area4=9.36634, dual_obj=-22292.3, p_obj=20574.3, heldout Acc=0.928693 (4/100), overall time=136.783
i=64, infea=0.036667, nnz_a=4.27535, nnz_b=5.45671, uni_search=0.202298, uni_subSolve=0.0744274, uni_maintain=0.0478452, bi_search=0.799109, bi_subSolve=0.0826262, bi_maintain=0.0697565, admm_maintain=0.125363, area1=118.033, area23=1.66985, area4=9.36829, dual_obj=-22256.3, p_obj=20318.6, heldout Acc=0.928729 (5/100), overall time=138.974
i=65, infea=0.0358287, nnz_a=4.28326, nnz_b=5.45163, uni_search=0.202788, uni_subSolve=0.0744121, uni_maintain=0.0479118, bi_search=0.799619, bi_subSolve=0.0825697, bi_maintain=0.0696322, admm_maintain=0.125923, area1=118.754, area23=1.66795, area4=9.36658, dual_obj=-22221.2, p_obj=20172.5, heldout Acc=0.928837 (6/100), overall time=141.166
i=66, infea=0.0350367, nnz_a=4.29037, nnz_b=5.44729, uni_search=0.202848, uni_subSolve=0.0746642, uni_maintain=0.0479749, bi_search=0.798838, bi_subSolve=0.0822362, bi_maintain=0.0692477, admm_maintain=0.150764, area1=119.438, area23=1.66564, area4=9.37254, dual_obj=-22187, p_obj=20800.3, heldout Acc=0.928864 (7/100), overall time=143.383
i=67, infea=0.0342752, nnz_a=4.29753, nnz_b=5.44333, uni_search=0.202364, uni_subSolve=0.0747472, uni_maintain=0.0480831, bi_search=0.800988, bi_subSolve=0.0821996, bi_maintain=0.0691317, admm_maintain=0.124604, area1=120.107, area23=1.6634, area4=9.37023, dual_obj=-22153.5, p_obj=20082.5, heldout Acc=0.928828 (8/100), overall time=145.574
i=68, infea=0.033552, nnz_a=4.30463, nnz_b=5.43776, uni_search=0.203267, uni_subSolve=0.0749627, uni_maintain=0.0480555, bi_search=0.80539, bi_subSolve=0.0822057, bi_maintain=0.0691784, admm_maintain=0.124959, area1=120.761, area23=1.66231, area4=9.37968, dual_obj=-22122, p_obj=20519.3, heldout Acc=0.929324, overall time=147.779
i=69, infea=0.0328489, nnz_a=4.31362, nnz_b=5.43298, uni_search=0.203581, uni_subSolve=0.075127, uni_maintain=0.0484366, bi_search=0.805601, bi_subSolve=0.0825603, bi_maintain=0.0687046, admm_maintain=0.126482, area1=121.372, area23=1.66086, area4=9.37976, dual_obj=-22092.1, p_obj=19396, heldout Acc=0.928828 (1/100), overall time=149.98
i=70, infea=0.0321583, nnz_a=4.32026, nnz_b=5.42828, uni_search=0.203606, uni_subSolve=0.0750925, uni_maintain=0.0483704, bi_search=0.805355, bi_subSolve=0.08223, bi_maintain=0.0686062, admm_maintain=0.125213, area1=121.999, area23=1.65902, area4=9.37574, dual_obj=-22062.6, p_obj=20871.3, heldout Acc=0.929243 (2/100), overall time=152.183
