using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=3, admm_step_size=1, C=1, eta=10
i=55, infea=0.043591, nnz_a=13.5756, nnz_b=26.8549, uni_search=27.2864, uni_subSolve=1.68226, uni_maintain=1.38884, bi_search=51.6205, bi_subSolve=1.70865, bi_maintain=7.46471, admm_maintain=1.90866, area1=1747.18, area23=1.32665, area4=1.49446, dual_obj=-26084.7, overall time=3410.86
i=56, infea=0.0436098, nnz_a=13.6146, nnz_b=26.9783, uni_search=27.3584, uni_subSolve=1.67044, uni_maintain=1.38523, bi_search=50.2573, bi_subSolve=1.67132, bi_maintain=7.2728, admm_maintain=1.89978, area1=1804.83, area23=1.33013, area4=1.53347, dual_obj=-26414.9, overall time=3508.07
i=57, infea=0.0436101, nnz_a=13.6538, nnz_b=27.0977, uni_search=27.2394, uni_subSolve=1.69516, uni_maintain=1.41448, bi_search=44.3562, bi_subSolve=1.44512, bi_maintain=6.37593, admm_maintain=2.24761, area1=1863.61, area23=1.33327, area4=1.57947, dual_obj=-26741.5, overall time=3598.93
i=58, infea=0.0435985, nnz_a=13.6875, nnz_b=27.2108, uni_search=26.0156, uni_subSolve=1.61812, uni_maintain=1.38083, bi_search=44.8158, bi_subSolve=1.4546, bi_maintain=6.26974, admm_maintain=1.78157, area1=1923.44, area23=1.33642, area4=1.6299, dual_obj=-27067.2, overall time=3687.9
i=59, infea=0.0435785, nnz_a=13.7228, nnz_b=27.3237, uni_search=29.3972, uni_subSolve=1.89879, uni_maintain=1.64583, bi_search=45.948, bi_subSolve=1.45081, bi_maintain=6.29143, admm_maintain=2.27209, area1=1984.05, area23=1.33937, area4=1.67342, dual_obj=-27391.1, p_obj=166925, heldout Acc=0.52221, overall time=3782.59
i=60, infea=0.0435543, nnz_a=13.7569, nnz_b=27.4335, uni_search=26.6097, uni_subSolve=1.89179, uni_maintain=1.64229, bi_search=44.9863, bi_subSolve=1.35526, bi_maintain=5.83318, admm_maintain=1.02615, area1=2045.11, area23=1.34194, area4=1.7658, dual_obj=-27713.2, overall time=3870.79
i=61, infea=0.0435487, nnz_a=13.7877, nnz_b=27.5385, uni_search=25.7613, uni_subSolve=1.73615, uni_maintain=1.53629, bi_search=64.6623, bi_subSolve=1.73298, bi_maintain=7.80343, admm_maintain=1.61264, area1=2107.25, area23=1.34474, area4=1.83455, dual_obj=-28033.8, overall time=3980.94
i=62, infea=0.0435291, nnz_a=13.8211, nnz_b=27.6382, uni_search=25.8355, uni_subSolve=1.61975, uni_maintain=1.41464, bi_search=42.4423, bi_subSolve=1.31257, bi_maintain=5.44345, admm_maintain=1.62486, area1=2170.29, area23=1.3475, area4=1.94022, dual_obj=-28353.8, overall time=4065.73
i=63, infea=0.0434949, nnz_a=13.8517, nnz_b=27.7331, uni_search=25.7669, uni_subSolve=1.59434, uni_maintain=1.40913, bi_search=44.077, bi_subSolve=1.32604, bi_maintain=5.52494, admm_maintain=1.62032, area1=2233.89, area23=1.34972, area4=2.03024, dual_obj=-28673.5, overall time=4152.19
i=64, infea=0.043475, nnz_a=13.8833, nnz_b=27.8255, uni_search=25.8612, uni_subSolve=1.59636, uni_maintain=1.41128, bi_search=46.0594, bi_subSolve=1.31965, bi_maintain=5.55083, admm_maintain=1.66959, area1=2298.37, area23=1.35259, area4=2.1494, dual_obj=-28991.5, overall time=4240.77
i=65, infea=0.0434273, nnz_a=13.9043, nnz_b=27.9143, uni_search=25.7023, uni_subSolve=1.55721, uni_maintain=1.41302, bi_search=44.8114, bi_subSolve=1.33252, bi_maintain=5.52054, admm_maintain=1.62732, area1=2364.02, area23=1.35474, area4=2.2816, dual_obj=-29306.8, overall time=4327.85
i=66, infea=0.0433883, nnz_a=13.9339, nnz_b=27.9958, uni_search=25.9446, uni_subSolve=1.63398, uni_maintain=1.42755, bi_search=46.4742, bi_subSolve=1.34026, bi_maintain=5.58003, admm_maintain=1.66132, area1=2430.65, area23=1.35737, area4=2.47124, dual_obj=-29620.3, overall time=4417.04
i=67, infea=0.0433414, nnz_a=13.9554, nnz_b=28.0788, uni_search=25.8963, uni_subSolve=1.63214, uni_maintain=1.42846, bi_search=47.2108, bi_subSolve=1.34233, bi_maintain=5.58407, admm_maintain=1.62942, area1=2498.2, area23=1.3594, area4=2.73891, dual_obj=-29933.5, overall time=4506.89
i=68, infea=0.0433179, nnz_a=13.9803, nnz_b=28.1587, uni_search=25.8255, uni_subSolve=1.63538, uni_maintain=1.43135, bi_search=48.7877, bi_subSolve=1.33917, bi_maintain=5.58451, admm_maintain=1.62283, area1=2566.45, area23=1.36197, area4=3.03246, dual_obj=-30245.4, overall time=4598.25
i=69, infea=0.0432609, nnz_a=14.0032, nnz_b=28.234, uni_search=25.5993, uni_subSolve=1.54964, uni_maintain=1.42034, bi_search=49.2939, bi_subSolve=1.36191, bi_maintain=5.67327, admm_maintain=1.6023, area1=2636, area23=1.36397, area4=3.47006, dual_obj=-30558.5, p_obj=174737, heldout Acc=0.535308, overall time=4689.92
i=70, infea=0.0432103, nnz_a=14.0247, nnz_b=28.3097, uni_search=25.8561, uni_subSolve=1.55011, uni_maintain=1.47214, bi_search=48.011, bi_subSolve=1.41173, bi_maintain=6.1524, admm_maintain=1.65082, area1=2706.33, area23=1.36575, area4=4.00565, dual_obj=-30867.9, overall time=4781.32
i=71, infea=0.0431412, nnz_a=14.0442, nnz_b=28.3837, uni_search=25.7457, uni_subSolve=1.54144, uni_maintain=1.46246, bi_search=48.8183, bi_subSolve=1.41351, bi_maintain=6.16296, admm_maintain=1.57716, area1=2777.37, area23=1.36791, area4=4.6604, dual_obj=-31177.4, overall time=4873.32
i=72, infea=0.0430732, nnz_a=14.0607, nnz_b=28.4525, uni_search=25.8162, uni_subSolve=1.55952, uni_maintain=1.4857, bi_search=49.5366, bi_subSolve=1.41236, bi_maintain=6.17061, admm_maintain=1.65753, area1=2849.43, area23=1.3697, area4=5.24961, dual_obj=-31484.2, overall time=4966.22
