using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=61, a_nnz=13.4552, ever_a_nnz=13.8109, b_nnz=117.465, uni_search=1.81915, uni_subSolve=0.224417, uni_maintain_time=0.0352306, bi_search=6.70341, bi_subSolve=0.312317, bi_maintain_time=0.179561, admm_maintain=0.172766, area4=-nan, infea=53.4062, d_obj=-2457.41, overall time=539.072
i=62, a_nnz=13.4847, ever_a_nnz=13.8434, b_nnz=118.301, uni_search=1.82153, uni_subSolve=0.222693, uni_maintain_time=0.0345187, bi_search=6.66986, bi_subSolve=0.279042, bi_maintain_time=0.15191, admm_maintain=0.173551, area4=-nan, infea=43.4857, d_obj=-2482.81, overall time=548.626
i=63, a_nnz=13.5201, ever_a_nnz=13.8807, b_nnz=119.224, uni_search=1.88701, uni_subSolve=0.230599, uni_maintain_time=0.0359401, bi_search=6.68774, bi_subSolve=0.30011, bi_maintain_time=0.164049, admm_maintain=0.179958, area4=-nan, infea=46.938, d_obj=-2482.15, overall time=558.286
i=64, a_nnz=13.5518, ever_a_nnz=13.9134, b_nnz=120.08, uni_search=1.9829, uni_subSolve=0.250617, uni_maintain_time=0.0381653, bi_search=6.77506, bi_subSolve=0.389797, bi_maintain_time=0.227044, admm_maintain=0.210555, area4=-nan, infea=48.7756, d_obj=-2491.45, overall time=568.369
i=65, a_nnz=13.5792, ever_a_nnz=13.9419, b_nnz=120.838, uni_search=2.12203, uni_subSolve=0.276656, uni_maintain_time=0.0400497, bi_search=6.76899, bi_subSolve=0.388459, bi_maintain_time=0.223515, admm_maintain=0.22976, area4=-nan, infea=42.2025, d_obj=-2521.38, overall time=578.621
i=66, a_nnz=13.6104, ever_a_nnz=13.9716, b_nnz=121.586, uni_search=2.015, uni_subSolve=0.26038, uni_maintain_time=0.0383808, bi_search=6.76891, bi_subSolve=0.392981, bi_maintain_time=0.227001, admm_maintain=0.138926, area4=-nan, infea=43.6004, d_obj=-2527.03, overall time=588.59
i=67, a_nnz=13.6391, ever_a_nnz=13.9992, b_nnz=122.306, uni_search=1.99374, uni_subSolve=0.255438, uni_maintain_time=0.0383902, bi_search=6.75312, bi_subSolve=0.389213, bi_maintain_time=0.220947, admm_maintain=0.175103, area4=-nan, infea=41.6989, d_obj=-2546.6, overall time=598.637
i=68, a_nnz=13.6633, ever_a_nnz=14.0295, b_nnz=123.134, uni_search=1.99764, uni_subSolve=0.254586, uni_maintain_time=0.0378173, bi_search=6.7614, bi_subSolve=0.384375, bi_maintain_time=0.218228, admm_maintain=0.215452, area4=-nan, infea=43.511, d_obj=-2542.2, overall time=608.676
i=69, a_nnz=13.693, ever_a_nnz=14.0578, b_nnz=123.896, uni_search=2.01788, uni_subSolve=0.258871, uni_maintain_time=0.0381652, bi_search=6.75359, bi_subSolve=0.394038, bi_maintain_time=0.222065, admm_maintain=0.180503, area4=-nan, infea=43.9511, d_obj=-2544.83, p_obj=2462.75......., heldout Acc=0.985957 (3/50), overall time=618.736
i=70, a_nnz=13.7187, ever_a_nnz=14.0836, b_nnz=124.623, uni_search=1.44471, uni_subSolve=0.161613, uni_maintain_time=0.0351211, bi_search=6.64845, bi_subSolve=0.223005, bi_maintain_time=0.113771, admm_maintain=0.125717, area4=-nan, infea=45.0601, d_obj=-2548.4, overall time=627.612
