using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=57, a_nnz=11.1205, ever_a_nnz=20.3438, b_nnz=224.326, uni_search=0.76282, uni_subSolve=0.168972, uni_maintain_time=0.0200088, bi_search=0.121578, bi_subSolve=0.228504, bi_maintain_time=0.0739556, admm_maintain=0.201757, area4=1.2427, infea=59.3261, d_obj=70.8847, overall time=62.0017
i=58, a_nnz=11.1252, ever_a_nnz=20.3948, b_nnz=225.658, uni_search=0.760146, uni_subSolve=0.166781, uni_maintain_time=0.0199164, bi_search=0.120689, bi_subSolve=0.227911, bi_maintain_time=0.074101, admm_maintain=0.214013, area4=1.23535, infea=58.6325, d_obj=52.7254, overall time=63.7641
i=59, a_nnz=11.1172, ever_a_nnz=20.4437, b_nnz=227.01, uni_search=0.764824, uni_subSolve=0.169769, uni_maintain_time=0.020203, bi_search=0.0961178, bi_subSolve=0.188988, bi_maintain_time=0.0634086, admm_maintain=0.162801, area4=1.26173, infea=58.2902, d_obj=41.4127, p_obj=1948.92......., heldout Acc=0.984578, overall time=65.3726
i=60, a_nnz=11.1112, ever_a_nnz=20.4927, b_nnz=228.3, uni_search=0.656844, uni_subSolve=0.140477, uni_maintain_time=0.017851, bi_search=0.0899653, bi_subSolve=0.179487, bi_maintain_time=0.0604222, admm_maintain=0.163075, area4=1.25104, infea=57.0663, d_obj=30.0262, overall time=66.82
i=61, a_nnz=11.1103, ever_a_nnz=20.5386, b_nnz=229.53, uni_search=0.655202, uni_subSolve=0.14065, uni_maintain_time=0.0178149, bi_search=0.0935916, bi_subSolve=0.182411, bi_maintain_time=0.0600578, admm_maintain=0.167333, area4=1.26006, infea=56.8433, d_obj=12.8112, overall time=68.2801
i=62, a_nnz=11.1058, ever_a_nnz=20.5804, b_nnz=230.647, uni_search=0.661963, uni_subSolve=0.14361, uni_maintain_time=0.0176642, bi_search=0.0982894, bi_subSolve=0.185753, bi_maintain_time=0.0616354, admm_maintain=0.173558, area4=1.24637, infea=56.9648, d_obj=-2.54359, overall time=69.7715
i=63, a_nnz=11.0958, ever_a_nnz=20.6254, b_nnz=231.846, uni_search=0.669702, uni_subSolve=0.148628, uni_maintain_time=0.0178755, bi_search=0.10077, bi_subSolve=0.188241, bi_maintain_time=0.061159, admm_maintain=0.17476, area4=1.26874, infea=56.8836, d_obj=-16.6298, overall time=71.2831
i=64, a_nnz=11.108, ever_a_nnz=20.6738, b_nnz=233.201, uni_search=0.665558, uni_subSolve=0.146558, uni_maintain_time=0.0177721, bi_search=0.10027, bi_subSolve=0.188226, bi_maintain_time=0.0611999, admm_maintain=0.183515, area4=1.27475, infea=56.2345, d_obj=-32.6274, overall time=72.8015
i=65, a_nnz=11.0975, ever_a_nnz=20.7176, b_nnz=234.397, uni_search=0.669007, uni_subSolve=0.148764, uni_maintain_time=0.017829, bi_search=0.0999787, bi_subSolve=0.18867, bi_maintain_time=0.0612124, admm_maintain=0.17663, area4=1.27942, infea=55.8455, d_obj=-44.9597, overall time=74.3148
i=66, a_nnz=11.0928, ever_a_nnz=20.7578, b_nnz=235.54, uni_search=0.672282, uni_subSolve=0.149211, uni_maintain_time=0.0180043, bi_search=0.103968, bi_subSolve=0.192129, bi_maintain_time=0.0625302, admm_maintain=0.180496, area4=1.28877, infea=55.6925, d_obj=-59.0239, overall time=75.8484
i=67, a_nnz=11.0816, ever_a_nnz=20.8002, b_nnz=236.682, uni_search=0.671679, uni_subSolve=0.149008, uni_maintain_time=0.0178288, bi_search=0.101517, bi_subSolve=0.190529, bi_maintain_time=0.0617688, admm_maintain=0.178222, area4=1.27441, infea=55.4192, d_obj=-67.0158, overall time=77.3719
i=68, a_nnz=11.0835, ever_a_nnz=20.8434, b_nnz=237.815, uni_search=0.676927, uni_subSolve=0.151834, uni_maintain_time=0.0179567, bi_search=0.104122, bi_subSolve=0.192823, bi_maintain_time=0.0621619, admm_maintain=0.179757, area4=1.29912, infea=54.4645, d_obj=-82.5138, overall time=78.911
i=69, a_nnz=11.078, ever_a_nnz=20.8843, b_nnz=238.942, uni_search=0.673079, uni_subSolve=0.149504, uni_maintain_time=0.0178718, bi_search=0.104017, bi_subSolve=0.19346, bi_maintain_time=0.0625834, admm_maintain=0.188229, area4=1.32248, infea=53.5559, d_obj=-96.3512, p_obj=2395.41......., heldout Acc=0.984406 (1/50), overall time=80.4587
i=70, a_nnz=11.0738, ever_a_nnz=20.9249, b_nnz=240.121, uni_search=0.674011, uni_subSolve=0.14944, uni_maintain_time=0.017928, bi_search=0.102408, bi_subSolve=0.19242, bi_maintain_time=0.0628933, admm_maintain=0.180777, area4=1.30613, infea=53.6613, d_obj=-105.67, overall time=81.9919
i=71, a_nnz=11.0691, ever_a_nnz=20.9604, b_nnz=241.119, uni_search=0.690253, uni_subSolve=0.157066, uni_maintain_time=0.0184703, bi_search=0.108998, bi_subSolve=0.199275, bi_maintain_time=0.0661284, admm_maintain=0.184479, area4=1.35186, infea=53.4424, d_obj=-118.724, overall time=83.5733
i=72, a_nnz=11.0619, ever_a_nnz=20.9935, b_nnz=242.015, uni_search=0.93781, uni_subSolve=0.220919, uni_maintain_time=0.0241935, bi_search=0.149591, bi_subSolve=0.280281, bi_maintain_time=0.0971133, admm_maintain=0.253277, area4=1.36722, infea=53.4112, d_obj=-130.802, overall time=85.7441
i=73, a_nnz=11.0516, ever_a_nnz=21.0329, b_nnz=243.052, uni_search=0.942281, uni_subSolve=0.222191, uni_maintain_time=0.024406, bi_search=0.150854, bi_subSolve=0.281785, bi_maintain_time=0.0927095, admm_maintain=0.25229, area4=1.37356, infea=52.1082, d_obj=-140.855, overall time=87.9197
i=74, a_nnz=11.0416, ever_a_nnz=21.0643, b_nnz=243.883, uni_search=0.744645, uni_subSolve=0.170513, uni_maintain_time=0.0194446, bi_search=0.105114, bi_subSolve=0.195947, bi_maintain_time=0.0623513, admm_maintain=0.183555, area4=1.41596, infea=52.0857, d_obj=-153.745, overall time=89.5788
i=75, a_nnz=11.0579, ever_a_nnz=21.0975, b_nnz=244.871, uni_search=0.692602, uni_subSolve=0.159061, uni_maintain_time=0.0191229, bi_search=0.0982378, bi_subSolve=0.191413, bi_maintain_time=0.0631134, admm_maintain=0.175394, area4=1.46737, infea=52.2022, d_obj=-167.98, overall time=91.1264
i=76, a_nnz=11.0507, ever_a_nnz=21.1315, b_nnz=245.793, uni_search=0.671489, uni_subSolve=0.14756, uni_maintain_time=0.0174572, bi_search=0.0982109, bi_subSolve=0.191866, bi_maintain_time=0.0626255, admm_maintain=0.175504, area4=1.4637, infea=53.2464, d_obj=-182.994, overall time=92.6395
i=77, a_nnz=11.0536, ever_a_nnz=21.1656, b_nnz=246.742, uni_search=0.674069, uni_subSolve=0.147979, uni_maintain_time=0.0175803, bi_search=0.0991764, bi_subSolve=0.1929, bi_maintain_time=0.0627919, admm_maintain=0.176418, area4=1.51143, infea=55.0667, d_obj=-183.083, overall time=94.1597
i=78, a_nnz=11.0414, ever_a_nnz=21.1961, b_nnz=247.624, uni_search=0.674179, uni_subSolve=0.148449, uni_maintain_time=0.0175398, bi_search=0.0992754, bi_subSolve=0.193073, bi_maintain_time=0.0628548, admm_maintain=0.176834, area4=1.53981, infea=54.3379, d_obj=-189.619, overall time=95.6816
i=79, a_nnz=11.0436, ever_a_nnz=21.2273, b_nnz=248.55, uni_search=0.674745, uni_subSolve=0.148936, uni_maintain_time=0.0175279, bi_search=0.0995455, bi_subSolve=0.193645, bi_maintain_time=0.0634436, admm_maintain=0.177478, area4=1.58655, infea=53.4251, d_obj=-193.092, p_obj=1925.31......., heldout Acc=0.985009, overall time=97.2072
i=80, a_nnz=11.0367, ever_a_nnz=21.2584, b_nnz=249.435, uni_search=0.681585, uni_subSolve=0.152667, uni_maintain_time=0.0176172, bi_search=0.105582, bi_subSolve=0.198384, bi_maintain_time=0.0641619, admm_maintain=0.185018, area4=1.61526, infea=52.8809, d_obj=-196.302, overall time=98.769
i=81, a_nnz=11.029, ever_a_nnz=21.2903, b_nnz=250.344, uni_search=0.683949, uni_subSolve=0.153827, uni_maintain_time=0.0178463, bi_search=0.106241, bi_subSolve=0.199173, bi_maintain_time=0.0633759, admm_maintain=0.18642, area4=1.67768, infea=52.9836, d_obj=-194.632, overall time=100.338
