using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=0, C=1, eta=10
i=56, infea=0.0415146, nnz_a=8.99145, nnz_b=13.6674, uni_search=0.273235, uni_subSolve=0.0624978, uni_maintain=0.0753611, bi_search=1.05814, bi_subSolve=0.221988, bi_maintain=0.130273, admm_maintain=0.152531, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16069.8, p_obj=30788.9, heldout Acc=0.930253 (1/1000), overall time=154.113
i=57, infea=0.0416853, nnz_a=9.0303, nnz_b=13.7117, uni_search=0.282442, uni_subSolve=0.0633343, uni_maintain=0.0767051, bi_search=1.08285, bi_subSolve=0.238945, bi_maintain=0.152731, admm_maintain=0.176863, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16209.7, p_obj=32068.9, heldout Acc=0.92955 (2/1000), overall time=157.116
i=58, infea=0.0418484, nnz_a=9.06854, nnz_b=13.7549, uni_search=0.302704, uni_subSolve=0.0645103, uni_maintain=0.0789537, bi_search=1.08397, bi_subSolve=0.239708, bi_maintain=0.153291, admm_maintain=0.179291, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16346.3, p_obj=29890.4, heldout Acc=0.930028 (3/1000), overall time=160.102
i=59, infea=0.0419955, nnz_a=9.10679, nnz_b=13.7955, uni_search=0.24797, uni_subSolve=0.0601543, uni_maintain=0.0738069, bi_search=1.04691, bi_subSolve=0.214651, bi_maintain=0.120552, admm_maintain=0.152802, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16479.8, p_obj=28700.5, heldout Acc=0.930091 (4/1000), overall time=162.849
i=60, infea=0.0421466, nnz_a=9.14238, nnz_b=13.8356, uni_search=0.248721, uni_subSolve=0.0603119, uni_maintain=0.0736875, bi_search=1.04625, bi_subSolve=0.215234, bi_maintain=0.120406, admm_maintain=0.150348, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16609.7, p_obj=30534.6, heldout Acc=0.930136 (5/1000), overall time=165.616
i=61, infea=0.0422867, nnz_a=9.17649, nnz_b=13.8754, uni_search=0.299486, uni_subSolve=0.0645658, uni_maintain=0.080307, bi_search=1.08691, bi_subSolve=0.242684, bi_maintain=0.156267, admm_maintain=0.178949, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16736, p_obj=29691.2, heldout Acc=0.929144 (6/1000), overall time=168.647
i=62, infea=0.0424229, nnz_a=9.21169, nnz_b=13.9135, uni_search=0.30412, uni_subSolve=0.064902, uni_maintain=0.0802513, bi_search=1.08574, bi_subSolve=0.241803, bi_maintain=0.155218, admm_maintain=0.180174, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16859.6, p_obj=28636.5, heldout Acc=0.93084, overall time=171.671
i=63, infea=0.0425474, nnz_a=9.24525, nnz_b=13.952, uni_search=0.301376, uni_subSolve=0.0647301, uni_maintain=0.0805218, bi_search=1.08383, bi_subSolve=0.240995, bi_maintain=0.154096, admm_maintain=0.177423, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16980.1, p_obj=29003.6, heldout Acc=0.930533 (1/1000), overall time=174.682
i=64, infea=0.0426775, nnz_a=9.27594, nnz_b=13.9881, uni_search=0.306014, uni_subSolve=0.065151, uni_maintain=0.0816495, bi_search=1.06814, bi_subSolve=0.23741, bi_maintain=0.138428, admm_maintain=0.16457, area1=-nan, area23=-nan, area4=-nan, dual_obj=-17097.4, p_obj=29801.9, heldout Acc=0.930208 (2/1000), overall time=177.601
i=65, infea=0.0427968, nnz_a=9.3085, nnz_b=14.0238, uni_search=0.223825, uni_subSolve=0.059191, uni_maintain=0.0728564, bi_search=1.03292, bi_subSolve=0.208381, bi_maintain=0.121841, admm_maintain=0.141279, area1=-nan, area23=-nan, area4=-nan, dual_obj=-17211.8, p_obj=25886.2, heldout Acc=0.930759 (3/1000), overall time=180.269
i=66, infea=0.0429053, nnz_a=9.34078, nnz_b=14.0596, uni_search=0.22644, uni_subSolve=0.0593896, uni_maintain=0.0730758, bi_search=1.03281, bi_subSolve=0.208781, bi_maintain=0.122242, admm_maintain=0.141442, area1=-nan, area23=-nan, area4=-nan, dual_obj=-17322.4, p_obj=29281.7, heldout Acc=0.930506 (4/1000), overall time=182.941
i=67, infea=0.0430074, nnz_a=9.3719, nnz_b=14.0938, uni_search=0.224116, uni_subSolve=0.0592661, uni_maintain=0.0730632, bi_search=1.03299, bi_subSolve=0.209249, bi_maintain=0.122573, admm_maintain=0.141575, area1=-nan, area23=-nan, area4=-nan, dual_obj=-17430.9, p_obj=27934.4, heldout Acc=0.930713 (5/1000), overall time=185.611
i=68, infea=0.0431175, nnz_a=9.40445, nnz_b=14.1275, uni_search=0.223533, uni_subSolve=0.0594176, uni_maintain=0.0732859, bi_search=1.03178, bi_subSolve=0.208224, bi_maintain=0.12247, admm_maintain=0.140018, area1=-nan, area23=-nan, area4=-nan, dual_obj=-17536, p_obj=27360.6, heldout Acc=0.93056 (6/1000), overall time=188.278
i=69, infea=0.0432202, nnz_a=9.43601, nnz_b=14.1602, uni_search=0.227133, uni_subSolve=0.0596563, uni_maintain=0.0735298, bi_search=1.03311, bi_subSolve=0.210073, bi_maintain=0.122521, admm_maintain=0.141046, area1=-nan, area23=-nan, area4=-nan, dual_obj=-17638.6, p_obj=29280.8, heldout Acc=0.930804 (7/1000), overall time=190.953
i=70, infea=0.04332, nnz_a=9.46655, nnz_b=14.1916, uni_search=0.223495, uni_subSolve=0.0594204, uni_maintain=0.0735294, bi_search=1.03389, bi_subSolve=0.210626, bi_maintain=0.122792, admm_maintain=0.142072, area1=-nan, area23=-nan, area4=-nan, dual_obj=-17739, p_obj=25920.9, heldout Acc=0.930704 (8/1000), overall time=193.628
i=71, infea=0.0434158, nnz_a=9.49622, nnz_b=14.2225, uni_search=0.229809, uni_subSolve=0.0599724, uni_maintain=0.0744858, bi_search=1.03628, bi_subSolve=0.210555, bi_maintain=0.123688, admm_maintain=0.141278, area1=-nan, area23=-nan, area4=-nan, dual_obj=-17835.7, p_obj=28208.5, heldout Acc=0.930578 (9/1000), overall time=196.314
