using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=10
i=62, infea=0.000969973, nnz_a=5.80906, nnz_b=8.75154, uni_search=0.681767, uni_subSolve=0.123145, uni_maintain=0.0741514, bi_search=1.68528, bi_subSolve=0.187831, bi_maintain=0.150909, admm_maintain=0.367756, area1=353.508, area23=1.65648, area4=18.0112, dual_obj=-7248.63, p_obj=34645, heldout Acc=0.925273 (1/1000), overall time=260.757
i=63, infea=0.000953345, nnz_a=5.75935, nnz_b=8.69215, uni_search=0.712463, uni_subSolve=0.124897, uni_maintain=0.0738932, bi_search=1.66892, bi_subSolve=0.188381, bi_maintain=0.163287, admm_maintain=0.338307, area1=353.419, area23=1.65584, area4=18.0904, dual_obj=-7315.41, p_obj=34745.9, heldout Acc=0.925066 (2/1000), overall time=265.311
i=64, infea=0.000936872, nnz_a=5.70736, nnz_b=8.62981, uni_search=0.637611, uni_subSolve=0.119297, uni_maintain=0.0718674, bi_search=1.6133, bi_subSolve=0.176235, bi_maintain=0.149719, admm_maintain=0.351564, area1=353.309, area23=1.65447, area4=18.1337, dual_obj=-7382.45, p_obj=35453.4, heldout Acc=0.923938 (3/1000), overall time=269.692
i=65, infea=0.00092221, nnz_a=5.66137, nnz_b=8.56771, uni_search=0.648811, uni_subSolve=0.118857, uni_maintain=0.0715057, bi_search=1.60742, bi_subSolve=0.176007, bi_maintain=0.149294, admm_maintain=0.341272, area1=353.232, area23=1.65281, area4=18.1822, dual_obj=-7449.53, p_obj=35332.3, heldout Acc=0.925427 (4/1000), overall time=274.066
i=66, infea=0.000907394, nnz_a=5.6087, nnz_b=8.50493, uni_search=0.638094, uni_subSolve=0.117921, uni_maintain=0.0710722, bi_search=1.68026, bi_subSolve=0.184662, bi_maintain=0.149734, admm_maintain=0.353417, area1=353.131, area23=1.65171, area4=18.2248, dual_obj=-7516.56, p_obj=32979.6, heldout Acc=0.923902 (5/1000), overall time=278.567
i=67, infea=0.000891871, nnz_a=5.55841, nnz_b=8.44601, uni_search=0.710682, uni_subSolve=0.12306, uni_maintain=0.0730458, bi_search=1.68496, bi_subSolve=0.185406, bi_maintain=0.150099, admm_maintain=0.386525, area1=353.034, area23=1.64956, area4=18.2702, dual_obj=-7583.58, p_obj=35609.6, heldout Acc=0.925616, overall time=283.19
i=68, infea=0.000878504, nnz_a=5.50888, nnz_b=8.38362, uni_search=0.619016, uni_subSolve=0.115399, uni_maintain=0.0697985, bi_search=1.60464, bi_subSolve=0.173471, bi_maintain=0.147773, admm_maintain=0.335038, area1=352.917, area23=1.64877, area4=18.3162, dual_obj=-7650.99, p_obj=34285.3, heldout Acc=0.925733, overall time=287.512
i=69, infea=0.000864066, nnz_a=5.45791, nnz_b=8.3187, uni_search=0.64511, uni_subSolve=0.11729, uni_maintain=0.0699372, bi_search=1.60225, bi_subSolve=0.171513, bi_maintain=0.146753, admm_maintain=0.34112, area1=352.825, area23=1.64714, area4=18.3489, dual_obj=-7718.36, p_obj=33207.7, heldout Acc=0.924001 (1/1000), overall time=291.866
i=70, infea=0.000852784, nnz_a=5.40355, nnz_b=8.26041, uni_search=0.642532, uni_subSolve=0.116577, uni_maintain=0.06985, bi_search=1.66464, bi_subSolve=0.179128, bi_maintain=0.146145, admm_maintain=0.375808, area1=352.733, area23=1.6453, area4=18.3599, dual_obj=-7786.23, p_obj=32179.5, heldout Acc=0.925986, overall time=296.361
i=71, infea=0.00084126, nnz_a=5.35435, nnz_b=8.20093, uni_search=0.706858, uni_subSolve=0.121609, uni_maintain=0.0705678, bi_search=1.68141, bi_subSolve=0.181759, bi_maintain=0.14599, admm_maintain=0.35732, area1=352.636, area23=1.64354, area4=18.3718, dual_obj=-7854.14, p_obj=33691.3, heldout Acc=0.925508 (1/1000), overall time=300.941
